speed,elevationGradient,heartRate
1.82801,0.118161,74
4.20269,0.102791,74.4
5.103,0.126984,84.6
4.12229,0.122262,88
4.99771,0.0864396,84.2
5.60382,0.0770903,84
5.10203,0.0846722,84.6
4.9139,0.0879139,86.4
4.29734,0.100527,90.6
3.89387,0.0739624,92
4.82968,0.0298157,92.4
5.76246,0,91.4
4.78244,0.0301101,90
5.54578,0.0389486,91
8.40886,0.0256872,92.4
5.97888,-0.0120424,91
6.04722,-0.0595315,93.2
5.61485,-0.0512925,95.8
5.62927,-0.0895321,95
5.01201,-0.086193,94.4
6.60963,-0.0762523,91.8
6.56792,-0.0986614,85.2
7.17159,0,82.8
6.2794,0,84.8
4.76653,-0.0151053,84.8
5.65829,-0.0254494,87.2
7.06414,-0.0203846,89.2
5.89313,-0.0244352,87
4.87235,-0.0147773,83.2
4.61285,-0.0312171,83
4.66918,-0.0154203,83
4.8378,-0.0297656,84
4.90954,-0.0293306,86.6
5.26678,0,85.2
4.83209,-0.0149004,82.8
1.27313,-0.0565535,83.2
0.0529805,0,82.6
0.133,0,84
0.452714,0,90.2
5.2069,-0.0138278,91.8
5.78012,-0.0373695,88
5.19828,-0.0277015,89.6
5.09565,-0.0423891,89.6
5.04902,-0.0570407,88.2
5.1736,-0.0417504,88.2
5.37303,-0.0268005,90.4
5.71451,-0.0377985,89.8
6.01404,-0.0359159,91
6.22698,-0.0346877,89.8
4.61955,-0.0467578,86.4
4.38131,-0.0493003,86.8
6.55638,-0.0549083,87.8
6.32956,-0.056876,89.4
5.9812,-0.0601886,85.6
6.34211,-0.0681162,84.2
6.45724,-0.078052,83
6.18722,-0.0581844,81.8
5.78794,-0.0497587,80.8
5.46471,-0.0527018,80
5.40612,-0.053273,80.4
4.64228,-0.0620385,81.8
3.81242,0,82
4.22248,0,82.8
4.95805,-0.0145218,86.4
5.14432,-0.041988,88.8
5.52723,-0.0390793,86.8
6.24649,-0.023053,85.4
6.21324,-0.0463527,82.2
5.95517,-0.0604517,81
6.24277,-0.0922667,82
6.37251,-0.101687,81.2
3.82528,-0.0752886,83.2
4.49991,-0.0640013,82.8
1.50669,0,83.4
2.90208,0,84.8
0.18598,0,85.6
0.0529799,0,84.6
0,0,82.6
0,0,84
0.15894,0,88.2
0.493649,0,89.8
2.70544,0.0266131,94.4
5.61716,0.0384536,98.2
8.14621,0.0618692,104.4
9.47194,0.0456084,118
11.5502,0.037402,123
12.2019,0.0295036,129.6
9.34503,0.0154093,133
8.92571,0.00806659,134.4
10.1237,0,136.4
8.09481,0,141.4
7.04023,0,142.6
7.8083,0,144
6.59482,0,145.2
7.98324,0.171359,149.4
7.81573,0.0921219,154
7.02317,0.0820143,162
8.29059,0.0781609,167.4
9.2907,0.0619975,173.2
9.21515,0.0546926,177.6
9.22279,0.062454,180.2
11.5562,0.0685344,181.2
11.0631,0.071589,183
10.7563,0.0468563,186.6
9.99102,0.0504453,189.6
10.3082,0.0349235,191
8.13688,0.0530916,191.8
9.81945,0.0513267,194
13.7704,0.0575147,194.2
11.8597,0.054639,194.4
12.9021,0.0502244,194
9.14515,0.0551112,193
7.74315,0.0836868,192.2
9.74046,0.0591348,192.8
12.9649,-0.0222138,190.2
11.109,-0.0259249,189
