speed,elevationGradient,heartRate
6.8414,0.0210483,97.6
4.05272,0.0177658,96.2
4.27788,0.0168308,103
5.21176,0.0276298,102
4.21737,0,102.8
5.54895,0.0129754,104
6.11102,0.023564,104.2
4.76171,0.0151206,104.6
4.72672,0.0152326,104
5.2792,0,106.2
5.05515,0.0142429,106.8
4.66478,0,106
6.06796,0,100.6
3.53222,0,98.6
6.04722,-0.0119063,92.2
4.86955,-0.0295715,89.4
4.35164,-0.033091,87.2
5.09288,-0.0565495,87.4
5.13796,-0.04204,104.4
4.73493,-0.0304123,107
5.20727,-0.0553073,106
8.07076,-0.0356844,109.8
9.3288,-0.0231541,116.6
9.54393,-0.00754406,120.8
9.03097,-0.00797257,124.2
9.04696,0,125.6
9.52815,0,127.8
9.77425,0,128.4
9.70734,0,129
9.57914,0,130
9.52547,0,131
9.46175,-0.00760958,131.8
9.14809,0,131.8
8.93948,0,130.8
8.80358,0,131.4
8.98853,0,133
10.0632,0.0143096,132.4
10.8979,0.0264272,131.6
10.49,0.0343183,133.4
10.5603,0.020454,134
10.6082,0.0271489,134.8
10.3968,0.0207756,134
10.4759,0.0137458,134.6
10.4432,0.0137888,135.2
10.388,0.00693104,135.2
10.2397,0.00703145,136
9.94134,0.00724249,137.2
9.6783,-0.022318,137.6
9.69615,-0.0371282,139
9.78062,-0.0368075,138.8
10.3852,-0.0485308,138
10.6857,-0.0269519,138
10.3948,-0.013853,138.4
11.1586,-0.0064524,138.4
11.0045,0,140.8
10.6181,0,143
10.7029,0,144.6
10.846,-0.00663836,145.8
10.8335,0,141.6
10.7941,0.00667031,140.4
10.7703,-0.00668506,136.6
10.422,-0.00690846,135.2
10.572,0.00681045,136.2
10.705,0,138.6
11.1656,0.0128967,140.4
11.5368,0.0249635,141.2
11.3751,0.0316481,137.8
11.3066,0.0254719,136.6
11.3298,0.0254197,137
11.3735,0.0189915,137.6
11.2406,0.0128108,137
10.9612,0.0131372,138
10.914,0.013194,139.8
10.6903,0,141.6
10.1799,-0.0141455,142.2
9.98287,-0.0144247,142.6
10.0505,-0.042983,145
10.5094,-0.0479573,144.2
11.1317,-0.03234,143.8
10.1949,-0.0211871,141.6
11.1973,-0.0128602,142.4
11.5361,0.0062413,144.4
11.5033,-0.00625908,147.8
10.806,0,153.2
10.1701,0,162.2
10.0581,0,166.8
10.2031,-0.00705668,171
10.5015,0,171
10.4346,-0.0069001,171
10.2509,0.00702376,171
10.2995,-0.00699061,171
10.3264,0.00697239,172
10.6402,0.0203003,171.8
10.2856,0.0280004,171
10.6159,0.0339115,171
10.923,0.0263664,171.2
10.4604,0.0206492,172
10.5407,0.020492,172
10.7941,0.0133406,172
10.7986,0.0133351,171.6
10.3265,0.0139447,171
9.94489,0,171.2
10.0984,-0.00712986,169.8
10.2399,-0.0140626,169.8
10.1693,-0.049561,170
10.0959,-0.035658,156.6
10.7505,-0.040184,140.4
11.1021,-0.0259411,135.2
10.8545,-0.0132664,134.4
11.8133,0,134.6
11.4776,0.00627306,135.2
10.8325,-0.00664667,135.6
10.3802,0,136
10.3304,0,136.8
10.5877,-0.00680031,134.8
10.8273,0,135
10.5782,-0.00680646,135.2
10.6473,0.00676229,136.8
10.6443,-0.00676418,140
10.3203,0.00697655,143.4
10.0967,0.021393,144.8
10.5472,0.0273057,144
11.2555,0.0319844,138.4
11.5379,0.018721,135.8
11.2244,0.0256584,135.8
10.7095,0.0201689,136.6
10.9361,0.0131674,137.2
10.7647,0.013377,136.6
10.4182,0.013822,135.6
10.1881,0,135
9.77484,-0.0147317,135.4
10.0489,-0.0143299,136
10.4743,-0.041244,135.4
10.5614,-0.0545382,134.8
10.4683,-0.0343895,136.4
10.7792,-0.0200386,136.8
11.0124,0,136.4
11.5109,0,135.6
11.7822,0,135.8
11.5004,0,136.4
10.9743,-0.00656078,136
10.6895,0,136.6
10.6693,-0.00674836,136.4
10.7636,0,134.8
10.8777,-0.00661907,134.4
11.273,0,135.4
10.482,0,135.4
10.6439,0.0135289,136
10.4811,0.0274781,137.6
10.9236,0.0329563,136.6
11.6753,0.0246674,135.8
11.3029,0.0254801,134.6
11.2616,0.0191802,133.8
10.866,0.0132524,134
10.7772,0.0200423,134
11.0491,0.00651634,134.2
10.7102,0.00672256,134
10.1396,-0.00710087,134.2
10.5862,-0.0204039,134.2
10.784,-0.0400593,134
10.6329,-0.0406288,134
11.0291,-0.0391689,134.4
11.5698,-0.0186692,134
11.4055,-0.00631276,134
11.288,-0.00637846,134
11.6038,0.00620487,133.8
11.1835,0,135
11.0705,-0.00650375,135.4
11.5936,0,136.6
11.0201,-0.00653353,137
10.8757,0,138
11.0622,-0.00650867,138.2
10.7238,0.00671404,137.6
10.5418,0,138.8
11.0677,0.0130108,139.6
11.301,0.0318555,140
11.7314,0.0306869,139.2
12.0224,0.0239554,139.2
11.5157,0.0250093,139
11.5624,0.0124542,139.2
11.2497,0.0192005,137.6
10.9582,0.0131408,138
11.0499,0.00651589,139.2
11.1271,0.0064707,139.6
10.8492,-0.0265456,139.4
10.9811,-0.0327835,140.8
11.1067,-0.0453779,140.4
11.0712,-0.0390202,139.6
11.4065,-0.0252487,139.4
11.1638,-0.0128989,139
10.7371,-0.00670572,138
11.2369,0.00640746,138.2
11.3182,-0.00636144,138
10.8101,0.00666042,137
10.6748,-0.00674485,137.2
10.7995,-0.00666696,137
11.0521,0,136.4
10.9745,0,136
10.8844,-0.00661498,135.6
10.7998,0,135.8
10.829,0.0132976,135.8
10.9378,0.019748,134.4
11.129,0.0323481,134.2
11.207,0.0321229,134
10.9844,0.0196642,134.4
11.351,0.0253723,134
11.4013,0.0126301,134
10.7081,0.0201717,133.8
10.4982,0.0137167,135.4
10.6983,0.00673006,136
10.8943,0,134.8
10.466,-0.0206382,134
10.4375,-0.0344909,134
10.9233,-0.04614,134.4
11.266,-0.0447363,135
10.9766,-0.0196783,134.8
11.1376,-0.0129291,134.8
11.5942,-0.00621,135
11.1126,0,134.4
11.1842,0,135
10.8068,0,135.6
11.048,-0.00651701,135.4
10.9846,0,135.8
10.6383,0,134
10.9747,0,135
11.3091,-0.00636656,135
10.8982,0,135.6
11.139,0.0129276,135.8
11.3224,0.0190773,136
11.1549,0.0322728,135.2
11.4352,0.0314817,135
11.9794,0.0180309,135
11.6478,0.0247257,135.4
11.4725,0.0125518,135
11.3231,0.019076,135
11.0178,0.00653487,135.4
10.7245,0.0067136,135.8
10.5271,0,136.6
10.5638,-0.0204473,135.8
11.2052,-0.0449792,136
11.3647,-0.0506834,136
11.3875,-0.0316135,136
11.5664,-0.0124499,135.6
12.1333,-0.00593407,135.8
11.9072,-0.00604677,135.2
11.6775,0,135.4
12.3084,0,136
12.1737,0,136.8
11.7048,-0.0123026,138
11.5813,0.00621691,138.4
12.4383,-0.00578856,139.2
12.0422,0,140
11.7456,0,140
11.6626,0.0185207,140.4
11.7285,0.0245555,140
11.8853,0.0363474,139.2
11.8542,0.0182213,137.6
11.7036,0.0246078,136.8
11.6627,0.0185206,135
11.3206,0.0190803,134.6
11.1476,0.0129175,130.6
11.1309,0.0064685,130.2
11.0931,0.00649051,130.8
11.0793,-0.0259944,139
11.7249,-0.0307038,139.2
12.0041,-0.0479835,140
11.5419,-0.0374288,143.4
11.749,-0.0183845,144
11.7936,-0.01221,143.8
13.2487,0.00543451,143.8
12.9965,0,142.8
12.5607,-0.00573217,144
12.7188,0,146.8
12.7487,-0.00564764,148.6
12.1544,0,151.8
12.5754,0,153.4
12.3335,-0.00583774,148.4
12.5245,0.00574872,145
12.2592,0.0176194,144.2
12.5391,0.0287102,144
12.6303,0.0342034,143.4
12.5277,0.0172418,143.6
12.3396,0.0233395,143.8
12.2063,0.0117972,143.4
12.1211,0.0237602,143.4
12.1469,0.00592744,144
11.981,0.00600949,143.8
11.6419,-0.0185536,145.6
12.0733,-0.0298178,149
12.3889,-0.0464932,144.8
12.8447,-0.0392379,144.6
13.1945,-0.0163705,144.8
12.9379,-0.0111301,144
13.1164,0.00548932,144.2
13.4987,-0.00533383,144.2
