speed,elevationGradient,heartRate
3.11221,0.138808,0
3.46825,0.103799,0
2.77494,0.103786,0
3.67264,0.137231,0
4.31987,0.11667,0
4.51514,0.0956781,0
4.01621,0.0717094,0
3.32655,0.0865763,0
4.74054,0.0911289,0
5.23082,0.0963519,0
4.7107,0.0764218,0
4.35428,0.0330709,0
4.56078,0,0
5.10462,0.0141049,0
6.09331,0.0472649,0
6.69117,0.0215209,0
6.30104,0,0
5.61355,-0.0513044,0
5.27351,-0.0682657,0
4.85038,-0.103909,0
4.39905,-0.0818358,0
5.28921,-0.0680631,0
6.05348,-0.142728,0
5.40548,0,0
5.59281,0,0
5.12226,0,0
5.01144,-0.0143671,0
5.2579,-0.0410811,0
5.35251,-0.0134516,0
5.39076,-0.0267124,0
5.28501,-0.0136234,0
5.51018,-0.0261334,0
5.5068,-0.0261495,0
5.38397,-0.026746,0
5.14848,-0.0139847,0
4.88408,-0.0147418,0
4.54023,-0.0158582,0
5.10185,-0.0282251,0
4.88726,-0.0294644,0
4.72887,-0.0304513,0
4.6231,-0.0311479,0
4.52108,-0.0477762,0
4.46832,-0.0483403,0
4.40699,-0.0490131,0
4.73101,-0.0152187,0
5.37946,-0.0401527,0
4.10897,-0.0350453,0
3.98994,-0.0541362,0
3.07954,-0.0233801,0
0.105961,0,0
0.211922,0,0
0,0,0
0.211922,-0.339747,0
0.599615,0,0
2.61437,-0.0275401,0
5.10597,-0.0564046,0
5.52492,-0.0521274,0
5.37098,-0.0536215,0
5.2311,-0.0688192,0
5.094,-0.0565371,0
5.12164,-0.0702899,0
5.35559,-0.0806634,0
5.2226,-0.0551449,0
5.04564,-0.057079,0
5.45098,-0.0528345,0
5.64504,-0.0510182,0
5.63535,-0.0638825,0
5.30702,0,0
5.02111,0,0
4.74917,-0.0151606,0
4.85593,-0.0444817,0
5.41201,-0.0266075,0
4.83691,-0.0297711,0
5.41386,-0.0398976,0
5.91193,-0.048715,0
5.80132,-0.0620549,0
5.80268,-0.0992645,0
5.86901,-0.0858747,0
6.09685,-0.0826657,0
6.00643,-0.0119871,0
5.74803,0.025052,0
5.75497,0.0375328,0
5.9753,0.060248,0
6.05666,0.0475509,0
5.84693,0.0492566,0
5.60899,0.0385096,0
6.48639,0.0333005,0
7.47043,0.028914,0
7.43377,0.019371,0
6.91999,0.0104046,0
6.27124,0.011481,0
5.79175,0,0
5.69634,0,0
5.32174,0,0
5.99788,0,0
5.46852,0,0
5.15408,0,0
5.0639,0.0568731,0
4.32196,0.116614,0
5.17304,0.111346,0
5.83617,0.086358,0
5.54877,0.090831,0
5.79013,0.0746098,0
5.19619,0.0692816,0
4.63231,0.077715,0
4.80411,0.0599487,0
3.22435,0.0446602,0
4.25407,0.0676999,0
6.66184,0.0540392,0
5.95675,0.0604356,0
5.79515,0.074545,0
6.74937,0.0640059,0
6.2285,0.0693586,0
4.84027,0.0595009,0
5.36914,0.0536399,0
4.62937,0.0466586,0
5.78503,0.0497836,0
7.43299,0.0387462,0
6.74554,0.0320211,0
3.71587,0.058129,0
8.38343,0.0515302,0
5.70396,0.0504913,0
6.45655,0.0557573,0
6.82062,0.0527811,0
7.20275,0.0599771,0
6.68298,0.0538682,0
6.73486,0.0427626,0
7.3458,0.0490076,0
7.4906,0.0576723,0
6.22952,0.0693472,0
4.30301,0.0836624,0
4.49969,0.112008,0
