speed,elevationGradient,heartRate
3.75412,0.0201884,0
4.2714,0,0
3.60766,-0.00997876,0
5.86892,-0.012268,0
5.58147,-0.00586356,0
5.50112,-0.0163603,0
4.69694,-0.0273734,0
5.99547,-0.00545867,0
4.38843,-0.0109379,0
5.133,0.00539495,0
4.67999,0.010989,0
2.90387,0.0185958,0
5.77261,0.0143916,0
3.5532,0.0297992,0
5.20943,0.0106316,0
5.16426,0.0107246,0
2.75253,0.0178349,0
4.04727,0.0156969,0
3.67903,0.005756,0
5.43681,-0.00509349,0
3.5584,-0.022482,0
2.82418,-0.0166266,0
5.47372,-0.0151774,0
4.78622,0.0107451,0
5.89474,0.0101786,0
3.77993,-0.0158733,0
5.56058,-0.0269756,0
5.01276,-0.0307786,0
4.94199,-0.0224139,0
4.8048,-0.0172904,0
4.7565,-0.0108123,0
3.54899,0,0
3.64766,0.00519439,0
5.02054,0.0055158,0
4.64533,0.0154995,0
3.60579,0.0315283,0
5.58904,0.0322059,0
4.47669,0.0375277,0
3.91203,0.00541316,0
4.3364,0.00553454,0
4.47325,0.0214609,0
4.18985,0.0202169,0
4.67481,0.0154017,0
4.94346,0,0
5.05883,0,0
4.77616,0,0
4.11639,-0.00485862,0
5.42266,-0.00553234,0
4.06803,0,0
3.04388,-0.00537591,0
4.31673,0,0
4.51317,0,0
4.15087,0.00510169,0
5.71781,0,0
1.57643,0.0371756,0
5.56503,0.0377357,0
4.65852,0.0309111,0
4.52677,0.0265089,0
4.71182,0.0054574,0
4.15608,0,0
5.50722,0.00544739,0
4.21431,0.00533895,0
4.49823,0.0160063,0
4.58887,0.0280181,0
5.11725,0.0216462,0
5.16175,-0.0232479,0
4.53639,-0.0226738,0
4.70117,-0.0102102,0
4.85357,-0.00529801,0
4.1696,-0.00616708,0
4.89156,0,0
5.06128,0.00547141,0
4.14088,0.00579587,0
5.29205,0.0104656,0
5.76779,0.0096024,0
4.25072,0.0056461,0
4.13582,0,0
3.33482,-0.0107952,0
4.68078,-0.00512736,0
5.20084,-0.00629269,0
5.60382,-0.0292008,0
5.02754,0.00477371,0
4.64794,0.0309815,0
3.52462,0.0376301,0
4.0212,0.0179051,0
3.7583,-0.0394421,0
3.97032,0,0
4.63763,0.0194065,0
4.67474,0.0271798,0
4.17301,0.0323507,0
3.25667,-0.00581803,0
4.28335,-0.0224124,0
4.31601,0.0208526,0
4.04153,0.0389704,0
3.30866,0,0
4.6246,0.00915819,0
4.26071,-0.0149105,0
6.56414,-0.0249288,0
4.52514,-0.0132593,0
5.30544,-0.013571,0
4.36501,-0.00485141,0
4.46062,0.00538042,0
3.97666,0.00862173,0
3.98446,0,0
4.72639,0,0
4.05887,0,0
4.64384,0,0
4.52093,0,0
4.60589,0.00977009,0
4.19619,0.02681,0
3.9906,0.0350824,0
4.6077,0.0292988,0
4.36881,0.00969439,0
4.80757,0.0053487,0
4.41684,0,0
3.90091,-0.00576789,0
4.37261,0,0
4.79538,-0.0160869,0
4.19998,-0.0160715,0
6.21948,-0.0133575,0
4.02888,-0.0105123,0
3.90249,-0.0131784,0
3.69471,-0.0153847,0
4.39139,-0.0327914,0
5.10111,-0.0529297,0
4.52372,-0.0561745,0
