speed,elevationGradient,heartRate
2.64669,0,179
1.34978,0,179
2.36136,0.0304909,179
6.98054,0,179
7.34711,0.00979977,179
2.85035,0.0252601,179
0.665302,0,179
0.435202,0,179
2.23613,0,179
6.05322,0.0118945,179
7.16751,0.0100453,179
10.1935,0.00706334,179
9.43899,0,179
9.14802,0,179
9.45721,0,179
9.48595,0,179
9.1772,0.00784553,179
9.43336,0.00763249,179
9.23266,0.0077984,179
9.09607,0.00791551,179
9.63885,0.00746977,179
10.4459,0,179
10.4801,0.00687016,177.2
10.1381,0,179
10.6323,0.0067718,179.2
11.4689,-0.0125557,179
11.0413,-0.0130419,175.6
9.23902,-0.0155861,178.6
7.99942,-0.00900065,178.4
9.97691,-0.00721666,175.8
9.95126,-0.0217058,175
7.71524,-0.0373287,175
6.54837,-0.0219902,175
7.60411,-0.0378743,174.4
7.52307,0,173.4
7.11092,-0.0202506,174
11.1474,-0.0129178,175.6
9.63751,-0.00747081,179
8.2549,-0.00872209,180
7.9956,0,180.8
10.4205,0,181.4
9.24014,0.00779209,178
6.95849,0.0103471,174.6
4.94045,0,173.2
10.7567,0.0133871,174.4
11.1083,0.0129632,175.6
8.81887,0.00816431,176.6
8.73196,0,174.4
9.38589,0,173.2
8.70169,0,173
7.39002,0,173
8.26255,-0.00871402,173.6
9.3368,0,173
9.47796,0.00759657,171.8
9.53769,0,171.8
9.1135,0.00790036,172.2
7.70934,0.00933933,169.2
11.6923,0.00615789,168
9.44536,0,164.8
7.42963,-0.00969093,162.8
7.54916,0,161.8
10.7839,0,161.6
8.6104,-0.016724,160.2
9.19918,-0.0234804,157.4
10.0332,-0.0215285,154.8
8.64981,-0.0166478,155
7.73059,0,153.4
9.37381,0,152.2
9.78734,-0.00735645,152.8
9.36175,0,158.6
9.04346,-0.00796156,160
8.81366,0,160.8
8.52257,0.0168963,159.4
7.73057,0.0186273,157
8.1398,0.0442271,156.2
10.2482,0.035128,156.8
9.32531,0.0386046,155.2
9.06279,0.0397229,152.6
6.79251,0.0211998,151.8
10.0418,-0.02868,150
9.48941,0.0151748,147.6
6.83739,0.0105303,146.2
