speed,elevationGradient,heartRate
2.12538,0.135505,80
4.39398,0.147474,80
4.25141,0.101613,80
3.99328,0.126212,80
3.9225,0.146845,80
4.41825,0.0977762,80
4.82181,0.0895929,80
4.61504,0.0780058,80.6
4.16308,0.0864744,80.6
4.20461,0.102744,80
4.27683,0.0841746,80
4.2836,0.0504249,78.6
5.45461,0.0131998,75
5.17103,0.0139237,70
6.07583,0.0355507,68.2
5.79151,0.037296,76.2
5.34327,0.0134749,86.4
5.13656,-0.0280344,84.4
4.92034,-0.0731657,86
4.65832,-0.0463687,89.6
4.70824,-0.0917541,91
5.2084,-0.0829429,90
6.15614,-0.0818694,89.8
5.2708,-0.136602,91.8
5.22543,0,91.2
5.2999,0,92.6
5.15577,0,90.8
5.09257,-0.0141382,86.6
5.08615,-0.0283122,85
5.05858,-0.0284665,84.4
5.02686,-0.0143231,80.4
4.867,-0.029587,81.8
5.10281,-0.0141099,80.8
5.8354,-0.024677,80
5.37303,-0.0268005,79
4.91953,-0.0292711,76.6
4.83446,0,75
4.98334,-0.0144481,75
5.30696,-0.0271342,75
5.78256,-0.0249025,74.2
5.76635,-0.0374587,73.8
5.21936,-0.0413844,75.2
4.7783,-0.0452043,76
4.78503,-0.0601878,76.8
4.87738,-0.014762,77
5.04268,-0.0428344,77.8
5.00621,-0.0431464,79.2
5.0125,-0.0430923,78.6
5.04587,-0.0285382,80
4.1966,-0.0514702,79.2
1.70245,-0.0422919,78
0.211922,0,78.2
0.105961,-0.679495,78.6
0.0529805,0,77.8
0.0529805,0,76.4
0.0529805,0,72.4
0,0,72
0.105961,0,74.6
1.02393,-0.0703174,78.2
4.44383,-0.0486068,80
4.97389,-0.0434267,79.4
5.17574,-0.0695553,82
5.19731,-0.0692666,83
5.2373,-0.0687377,82.4
5.18565,-0.0833068,81.4
5.25995,-0.0547534,82.8
5.2202,-0.0551703,86.4
4.9211,-0.0438926,80
4.77945,-0.060258,79
4.70517,-0.0612092,80.6
4.9071,-0.0293452,79.4
5.22356,0,76.4
4.57341,0,76.4
4.37889,-0.0328851,76.8
4.86436,-0.0444046,78.2
5.029,-0.0286339,79
4.89772,-0.0147007,80.6
4.83417,-0.0446819,82.8
5.03178,-0.0429272,86
5.12223,-0.0562256,87.6
5.09295,-0.0989603,87.8
5.03961,-0.100008,85
5.18307,-0.0694569,82
4.73473,-0.0912407,82
4.27662,0,83
3.77769,0.0190593,84.8
2.57551,0,83.2
3.70208,0.038897,82
5.48708,0.0524869,82.4
3.52094,0.0613473,85.6
