speed,elevationGradient,heartRate
2.43443,0.147879,96
3.46722,0.124596,96
4.30642,0.117035,96
4.93396,0.0875565,96
5.35412,0.0806855,96
5.58598,0.0902259,91.6
5.41068,0.106456,82.2
4.57924,0.0628926,80.2
4.33082,0.0332501,81.8
4.89563,0,79.6
5.08052,0.0283435,65.8
4.96104,0.0435392,62
4.9803,0.0289139,65.8
5.03646,0.0142958,70.2
5.19031,-0.027744,72.6
5.04761,-0.0713209,73
4.6247,-0.0467057,75.2
4.5489,-0.126624,77.6
4.9421,-0.0728435,76.8
5.11614,-0.0703655,75
4.86629,-0.162752,76
5.12824,0,78.2
5.46555,0,79.8
5.46469,0,82.4
5.2563,-0.0136978,84.8
5.03362,-0.0429114,86
5.14214,-0.014002,88
5.65674,-0.0254564,88.6
5.1471,-0.0139885,84.8
4.76674,-0.0302093,78
4.93688,-0.0145841,76.8
4.98969,-0.0288595,77.4
4.93706,-0.0291672,79.2
4.68644,0,74.4
4.42612,-0.0162671,71.6
4.29895,-0.0167483,68.8
4.14805,-0.0347151,65.6
3.79561,-0.0379385,66.8
3.56789,-0.02018,69.4
3.77022,-0.0381941,69.6
4.14001,-0.0521738,65.6
4.61247,-0.0468295,61.4
4.78167,-0.0451725,58.2
4.29519,-0.0335259,62
4.35171,-0.0165452,64
4.66076,-0.0463444,64
4.88322,-0.0442331,64.8
4.71704,-0.0457914,65.6
4.41945,-0.0325832,63.2
4.72571,-0.0609432,64.4
5.05585,-0.0569637,66
4.808,-0.0449252,67
4.50637,-0.0639096,67
4.52905,-0.0635894,70.6
4.78658,-0.0752102,74.8
4.99931,-0.07201,77.8
5.31389,-0.067747,76.8
5.30928,-0.0542447,73.2
4.70098,-0.0459479,71.4
5.13734,-0.0560601,73.6
4.20291,-0.0685239,74.2
2.09188,-0.0344188,79.4
1.84745,-0.0779454,70
5.18232,0,63.6
5.61621,0,60.8
7.02797,-0.0307344,58.6
3.15093,-0.0457007,57
5.28494,-0.0272472,57.2
6.73641,-0.0213764,59.8
5.35299,-0.0538017,64.6
5.36657,-0.0402492,65.8
6.73507,-0.0748322,65
4.43006,-0.0975155,56.6
3.11971,-0.0923164,53.8
3.22406,-0.0669962,55
3.0758,-0.0936342,61
6.20214,-0.0348267,63.4
4.78105,0.0150595,62.2
6.62319,0.0217418,61
5.95147,0.0483914,60.2
5.80778,0.0619859,61.2
4.66659,0.0462865,65
3.33431,0.0215937,72
3.80651,0.0378299,76
5.75987,0.0500011,77.6
7.29045,0.0197519,80.4
7.75117,0.0371557,81.2
7.48057,0.0192499,81
6.07949,0,80.6
5.49523,0.0131023,78.8
4.66327,0,75.6
5.45996,0,74.8
5.94468,0,73.6
6.50737,0,74
4.73412,0,74
1.9279,0,74.2
6.61426,0,77.2
4.97943,0,79.8
4.5118,0.111707,79.2
4.61771,0.124737,72
4.48914,0.0962321,74.2
4.27408,0.0842286,78.4
4.02545,0.0894311,83.8
4.10008,0.0878033,86
4.89682,0.0735171,85.2
5.29064,0.0680448,87.8
4.56577,0.063078,87.2
5.30426,0.0542959,84.8
5.69008,0.063268,83.4
4.88413,0.0589665,85
5.27683,0.0545782,86.4
5.88859,0.0733622,88.8
6.02261,0.0597748,83.4
5.64234,0.076564,78.4
5.07218,0.0567804,76
5.09037,0.0565774,72.2
5.26473,0.0547036,70.4
5.45948,0.0527523,71.8
4.49724,0.0480294,73.4
4.30019,0.0334869,79.4
4.84863,0.0445486,81.6
3.90016,0.0369216,83
4.73289,0.0456381,84
5.06066,0.0426822,87.2
5.5846,0.0515704,89
5.95629,0.0604403,88.6
5.70935,0.0504435,90.8
5.4426,0.0661449,90.6
5.8462,0.0492628,89.2
6.27527,0.057368,84.2
5.66932,0.0380998,83.2
5.13223,0.0561159,79.2
4.96488,0.0435056,75.8
5.09691,0.0565049,76
5.37998,0.0802977,75
5.84395,0.0739226,75
6.54658,0.0659887,76.8
6.37363,-0.0112965,77.8
5.34167,-0.0269579,76
4.43771,-0.0162246,80.4
3.53111,-0.0203902,82.8
3.07769,-0.0233942,84.6
2.32245,-0.0620035,87
2.17647,-0.0330811,89
4.31692,-0.0500357,88.2
3.97226,-0.0181257,82.6
4.74351,-0.0303573,83
5.54207,-0.0129915,84.2
7.59366,-0.0663711,88
11.1446,-0.0775261,90.4
9.95307,-0.0868074,97.2
10.1097,-0.11395,103.6
10.0299,-0.0574281,106
10.4058,0.0415154,108.6
10.592,0.0747736,108.4
7.81722,0.064473,110.4
7.65835,0.0564091,112
6.6145,0.0544259,113
7.00364,0.0719626,113.6
8.03578,0.0627195,115
8.51755,0.0760782,115.6
8.70663,0.107504,116
8.88853,0.121505,116.8
8.55125,0.202076,117.6
7.31712,0.177119,118.8
6.82589,0.158221,117
7.23735,0.149226,117
7.97769,0.144403,118
8.39687,0.0943208,118.8
8.29188,0.104198,120.8
8.12606,0.0797434,123.4
8.3306,0.0777855,124
8.97586,0.0641721,125
8.96218,0.0642701,126.6
7.91147,0.063705,127.4
8.42173,0.0512959,130.6
11.0796,0.0389907,132.8
9.0996,0.0316498,136
9.99117,0.0288255,138.8
8.90846,0.0242466,142.4
10.4227,-0.0276319,143.2
12.7806,-0.0281677,144
11.5707,-0.0373356,155.4
10.3104,-0.0349164,172.4
9.33344,-0.0308568,173.4
8.11667,-0.0177413,173.8
7.85446,-0.0183335,175
8.31728,0,177
8.97626,0,178.6
9.50717,0.0151465,175.6
8.87248,0.01623,176.4
9.2988,0.0309717,177
10.6272,0.0406505,175.6
10.9764,0.0590357,174.4
11.6037,0.0682541,175.2
10.8737,0.0595932,177.6
9.85865,0.0584259,180
8.67668,0.0414905,180
8.48398,0.0509195,180
9.87684,0.0364489,179
9.58225,0.0375695,179
7.79482,0.0461845,178.6
6.97872,0.0412683,179.6
10.24,0.0281249,179.8
11.3461,0.0317289,178
9.61662,0.0149741,178
9.22991,0.00780073,179.2
9.48701,0.00758932,179.4
9.67844,0.00743921,178.2
9.75293,0.00738239,178.2
9.00273,0.0159952,179
9.12807,0.0236633,178.2
9.65613,0.0447384,177.2
8.40834,0.0856292,178
8.73839,0.148311,179.6
11.8644,0.157783,181
8.25503,0,181.6
8.41533,0.0171116,179.8
8.03634,0.0358372,178
7.64368,0.0282587,176.4
8.77795,0.0164047,177.8
8.75961,0.00821954,178.4
8.55126,0,178
9.8012,-0.0293842,177.6
6.52499,-0.044138,177.4
4.93384,-0.0729655,173.6
3.54568,-0.0609192,171.6
3.84481,-0.0187265,169
5.88889,0,167
8.59544,0.0167531,166.2
3.70766,-0.0388385,164.8
4.49305,0.064099,160.2
5.0184,0.0573889,150.2
4.66493,0.0617372,143.4
5.19576,0.180147,145
3.0123,0,143.6
4.19995,0.102858,143
7.1957,0.120072,142.2
6.54003,0.0660547,142
6.38699,0.112729,142
5.95361,0.048374,142
5.41714,0.106329,141.8
4.98049,0.0722821,140.4
5.76391,0.0249831,138.4
5.50465,0.104639,138.8
4.49297,0.0480751,140.2
3.95133,0.0364434,140
5.08655,0.0990849,138
5.2243,0.0964722,136.8
4.27807,0.10098,135.4
4.68598,0.107555,135.4
5.10521,0.183342,134.4
5.1057,0.0705095,132
8.04848,0.16997,131
5.62005,0.115302,128.8
4.06515,0.0885575,129
4.23968,0.186807,128.2
5.07884,0.155941,131.8
4.46836,0.0805666,128.4
4.48713,0.0641836,125.8
3.82945,-0.11281,126.4
5.06124,-0.0142258,127
8.78519,0,135.6
10.2145,0,141.4
10.3036,0,143.6
10.1719,-0.0141566,148.2
8.32738,-0.0259385,158.2
7.60651,-0.0473279,161.6
9.78796,-0.0294239,166.4
8.65027,-0.00832344,167
12.2602,0.0234906,168.6
8.66865,0.0249174,177.4
8.70462,0.0413573,181.4
8.73218,0.0329814,182.4
7.27182,0.0198025,181.2
7.99275,0.00900816,180.8
8.68554,0,183.4
10.3288,0,191.8
9.39346,0,194.4
7.32254,-0.00983266,194
6.16322,0,189.6
4.88364,0.0147431,185.6
5.64182,0.0382855,184.4
9.39293,0.0306614,186
8.01582,0.0179645,186
8.03729,0.0179165,184.8
8.16799,0,186.6
9.64312,-0.00746646,190
12.006,-0.017991,187
11.2311,0.00641076,180.4
10.9243,0.039545,176.8
7.41662,0.0776634,176.2
5.64906,0.1402,175
5.90151,0.134203,175.8
6.98649,0.144279,178.2
7.98284,0.126271,181.6
8.76462,0.106793,183
7.28591,0.0988208,184.8
8.84189,0.0895736,187.8
10.0184,0.0862411,189
9.06575,0.0873618,187
7.93043,0.0635527,183
7.6585,0.0564079,180.2
6.10404,0.0471818,179.2
5.88846,0.0244546,180
6.62795,0.0217262,180.2
7.70532,0.00934419,177.2
8.82834,0.00815556,175.6
9.04805,0.0238725,173.6
9.09234,0.0475125,169
9.05007,0.0238672,168
8.7309,0.0247397,170.6
8.3141,0,173.6
8.09791,0.00889118,177.4
8.93319,0.0322393,184.6
7.88796,0.054767,186
8.65667,0.232884,185
8.72875,0.082486,177
7.2156,0.0997838,175
3.89624,0.0739174,176.2
2.58389,0.11146,176.8
7.91112,0.0728089,176.6
10.6809,0.0808917,176.4
10.1142,0.0711868,178
10.9776,0.0524705,178.8
8.53413,0.059057,180.2
9.20817,0.054734,181.8
9.5954,0.0525252,181.6
8.34978,0.0517379,179.2
8.84396,0.0325646,179.6
10.5365,0.034167,180.6
9.66857,0.0297873,183
9.2733,0.0465854,185.8
11.3908,0.0442462,185.6
11.9163,0.036253,187
9.85292,0.0219224,186.6
6.68606,0.0107687,182.6
7.74342,0.00929821,183.6
10.5159,0,181.8
11.7728,-0.0122316,180.2
10.453,-0.013776,179.2
8.07115,-0.00892067,179
7.66661,-0.00939137,181.2
9.39295,0.00766533,181.6
10.1681,0.0141619,180
10.6774,0,179.8
11.1253,-0.0129435,179.2
10.9627,-0.0262709,177
10.0933,-0.0214003,176.8
8.80197,-0.02454,176
8.7628,-0.0246496,176.2
11.5069,-0.0187713,173.2
9.15314,-0.0157323,175
8.99368,-0.0480337,176.2
9.65987,-0.0819887,177
9.51694,-0.0907855,176
9.58927,-0.0901007,174.8
10.3485,-0.0487025,174
9.6278,-0.0373917,176
8.85334,-0.0406626,177.2
8.9225,-0.032278,178.4
9.72766,-0.0592126,176.6
10.4789,0.00687097,170.4
9.62024,-0.0449053,165.2
7.71339,-0.140016,164.6
7.38309,-0.14628,170.2
8.00945,-0.125851,172.8
9.37582,-0.0614347,167.8
10.4644,-0.0756855,165
8.42627,-0.0170894,172
7.33983,-0.0686664,176
10.8984,-0.0594581,176.8
11.1196,-0.0323754,178
12.1503,-0.00592578,178
11.2634,-0.0127847,179.4
10.6577,-0.0337785,178.8
9.09651,0.0237454,177.6
7.62455,0.0283295,177
7.66789,0.0281694,177.4
9.42531,0.00763901,179.6
8.71198,0.00826448,179.8
10.3248,0.0209205,179
11.1038,0.0259372,178
10.0014,0.0359949,178.2
9.17676,0.0235377,179
9.33262,0,177
11.6368,0.00618729,176.6
11.1346,0,175.4
10.0557,-0.0501208,174
10.2485,-0.0491779,174.2
9.45267,-0.0609352,177.6
10.0941,-0.0713285,180.8
10.677,-0.040461,186.6
10.4875,-0.0205959,190.8
10.4989,-0.0342894,192
9.62895,0.0672971,195
9.75007,0.051692,199
10.9176,0.0329743,197.8
9.15374,0.0314625,197
10.8878,0.079355,195.4
9.73442,0.0665679,195.8
7.22373,0.0498358,195.8
6.00204,0.0359878,188.2
6.93893,0.0311287,182
7.22666,-0.0199262,183.6
9.22512,-0.070243,181.4
9.96161,-0.0433665,180.8
9.77428,-0.0441976,179.2
8.24128,-0.017473,179.2
6.92777,-0.0207859,179.2
11.8679,-0.0182003,179.2
10.0711,-0.0285966,180.2
3.63087,-0.0396599,178
3.58204,-0.0201003,174.4
5.29021,-0.0272201,170.6
7.50942,-0.0287639,167.8
7.57763,-0.028505,166.2
9.95033,-0.0361797,166
8.70361,-0.0248173,167.2
10.3958,-0.0207776,170.4
10.4015,-0.00692208,173.4
10.3435,-0.00696087,176.2
10.2163,0,182
10.2921,-0.00699566,183.6
11.556,-0.0062305,182.2
8.81685,-0.00816618,179.2
7.79454,-0.00923723,179
11.5442,-0.0124738,179.6
9.9683,-0.0216687,183.2
9.98852,-0.0144165,185.4
7.93637,-0.0181443,183
9.65205,-0.0149191,179.8
12.0214,-0.0239572,183.6
11.9666,-0.0361005,184.2
10.865,-0.0397606,185.2
10.4891,-0.0411855,186.4
10.6315,-0.0406338,187
10.5852,-0.0340097,188.4
10.4469,-0.0413519,190.2
10.025,-0.0502744,193.8
9.71735,-0.0444566,194.2
9.32816,-0.0463114,194
9.51776,-0.037824,196.4
11.9237,-0.0483071,199.8
10.9501,-0.0394518,197.6
10.1951,-0.0423732,200
8.94942,-0.0804521,201.6
9.25204,-0.0544745,202.6
9.02433,-0.0478706,200
8.81989,-0.0653069,197.2
9.62296,-0.0523747,196.6
10.8595,-0.0729315,192.2
13.6478,-0.0738579,188
10.9082,-0.00660052,185.2
10.1708,0.0212373,182.8
9.26026,0.0155503,181.2
10.4096,-0.0138334,182
9.71386,-0.0148242,182
11.9366,-0.00603188,179.6
13.7774,0.0261298,178.6
12.7162,0.0509585,179.8
11.6488,0.0741709,183.2
10.2913,0.0629658,183.4
9.74871,0.0443136,179.4
9.18072,0.015685,180.6
9.68205,-0.00743644,181.2
4.14375,-0.0347511,182.8
2.35834,-0.03053,174.8
2.8543,-0.126125,167.6
4.2341,-0.085024,161.4
0.705465,0.408242,157.4
0.266027,1.0826,137.2
0.240059,-0.299926,117
3.52228,-0.0408826,107.2
4.91365,-0.0732653,99.4
5.21997,-0.0551727,90.8
5.84009,-0.1726,87.6
5.54723,-0.129794,85
4.42674,-0.146383,86.8
3.87914,-0.0742432,89.2
4.70723,-0.137661,92.4
4.67974,-0.107698,95.8
4.88353,-0.117947,96.8
5.09598,-0.11303,95.6
5.04802,-0.0713151,96.4
4.96011,-0.072579,101.6
5.58492,-0.0257837,108.2
5.73486,-0.138103,111
5.44507,-0.0396689,111.2
5.71795,-0.100735,111
6.72204,-0.0535552,113.2
7.52223,-0.114859,115.6
6.12901,-0.129221,117.2
5.88564,-0.0856321,119.2
5.64977,-0.178414,119.6
7.50247,-0.0959685,123.6
6.88437,-0.0941263,125.8
5.49969,-0.0654583,128.2
5.09703,-0.0423776,129.4
4.59105,-0.0156827,130.4
4.41079,0.0163236,131
3.95362,0.0728446,132
4.28101,0.0336369,135.2
4.92006,0.029268,139.2
5.32135,-0.0541216,140.6
6.36803,-0.0565324,141
6.14926,-0.0468349,141.2
5.00649,-0.0575253,141
4.56044,-0.0315759,138.8
4.5642,-0.0315499,137.2
4.70035,-0.045954,137.4
4.77973,-0.0150636,133.6
5.06386,-0.0142184,124.6
5.20275,-0.0138388,120.4
4.73815,0,118.8
4.32328,0.016654,119
5.50025,0.0261806,119
6.46176,0.0334274,120.4
7.69281,0.0374375,127.6
9.15081,0.0708134,131.6
10.0381,0.0717267,135.8
9.73488,0.0665648,137.6
8.05955,0.0893351,143.4
7.59083,0.0569107,150
