speed,elevationGradient,heartRate
4.05943,0.0177365,88.2
4.38172,0.0164319,89.6
4.1035,0,92.4
4.14748,-0.0173599,90.8
4.86832,0,88
5.43246,-0.0132537,89.4
3.7382,0,84.4
0.577401,0,85
3.94246,-0.0182627,83.6
1.27368,0,83
0.229711,0,81.4
0.176253,0,72.8
1.26794,0,69.2
4.21885,-0.0170663,69
5.12449,0,72.6
5.02632,-0.0143246,73.4
4.99962,0,79
5.3145,-0.0135478,81
5.50681,-0.0130747,84.2
5.19164,-0.0277369,84
5.38647,-0.0267336,84
4.54392,-0.0316907,83.8
4.80333,-0.0149896,84.8
5.24243,-0.0137341,85.4
3.96409,0,84.8
5.42087,-0.013282,82.6
5.0688,0.0142045,81.8
4.98747,0,81
4.21679,0.0170746,85.6
0.840315,0,85.4
0.266956,0,82
0.769871,0,76.2
2.99568,0.0240346,79
4.8504,0.0148441,79.2
5.18097,0.013897,82.8
5.45733,0.0131933,84
5.41752,0.0265804,84
4.82942,0.0149086,86.8
3.94431,0.0182542,87.6
4.16826,0.0345468,89.6
4.6432,0.0155066,83.2
4.5985,0.0156573,81.8
5.67517,0.0126868,81
5.28824,0.0136151,80.4
5.30747,0.0135658,81.4
5.28584,0.0136213,81.8
4.78236,0,83.2
4.33112,0,83.6
4.76703,-0.0302075,82
9.23595,-0.0233869,87.8
8.14526,-0.0265185,95.4
9.44432,-0.0304945,102.6
7.79287,-0.0461961,109.4
7.52821,-0.00956403,112.6
8.69347,-0.0165642,116.2
8.73875,0.0164783,117.4
9.39268,0.0306622,121.6
8.94251,0.0241543,124
8.82596,0.0163155,127
9.12032,0.0236834,130.2
8.42891,0.0341681,130.2
8.56395,0.0420367,131
8.74556,0.0493965,130
9.00442,0.00799607,127.8
8.76138,0.00821788,127
7.36992,0.00976944,127.8
8.86409,0,128.2
9.01749,0.015969,130.6
8.02981,0.0179332,131.2
8.67796,-0.00829688,132
7.73822,0.0279134,131.4
8.8444,0.032563,129.8
7.0349,0.0204694,131
7.11633,0,131
7.49931,0,131
8.6945,-0.0082811,131
9.8296,0,130.8
10.6262,0,130
10.8316,-0.0132945,130.6
9.98845,-0.00720833,132
7.92964,-0.00907985,132.4
7.05886,-0.0102,133.2
7.15589,0.0100616,134.4
7.08262,0.0101657,133.4
7.07957,0.0203402,129.8
9.06479,0.0397141,129
5.40534,0.0399605,128
6.65267,0.0108227,130.4
6.79324,0.0211975,124.8
6.5397,0.0220194,123.8
6.11663,0.0353136,121.8
7.94365,0.0362554,121
7.99754,0.00900277,124.4
8.26362,0.0174258,125.2
7.7202,0.00932618,126.8
7.01538,0.0102632,128
8.83895,0.00814576,126.6
7.57348,0.00950686,126.8
6.7247,0,127.8
3.38518,0,127.2
6.47418,0,127
7.79047,-0.00924206,125
8.50588,-0.00846473,125.6
9.86216,-0.0146013,128.6
10.1426,-0.0141976,133.2
9.56746,-0.00752551,130.2
8.98464,-0.024041,125
7.644,-0.0470958,123.6
5.65997,-0.0254418,122
7.03008,-0.0307251,124
8.04337,-0.0447573,125.2
7.99551,0.00900506,126.2
4.44681,0.0161914,127.2
5.75402,0.012513,127.8
7.17344,0.010037,128
8.58152,0.00839012,129.8
9.09783,0.00791398,131.2
9.0983,0.00791357,132
9.20371,0.0156459,131
8.09524,0.0177882,131.6
7.95869,0.0180934,129
8.82851,0.0163108,126
10.4555,0.0137727,124.8
10.0657,0,123.2
9.71917,0.00740804,125.2
9.67536,0,129
9.36651,0,131.4
10.5189,0,133.2
10.5678,0,135
9.38305,-0.00767342,135
9.92703,0,135.2
11.2004,-0.00642833,137.8
11.0049,-0.00654254,141.2
9.80259,-0.01469,142.4
9.63961,-0.00746918,143
10.5502,0.013649,143.8
11.5616,0.012455,142.8
10.0603,0.0214706,146.6
9.90094,0.0218161,150
11.699,0.0246175,146.2
9.83578,0.0292808,147.8
8.89503,0.0242832,152.8
10.3754,0.0208184,144.8
10.6501,0.013521,142.2
11.1769,0.0193256,141.2
10.8626,0.0132565,141
9.7853,0.014716,140.4
8.82212,0.0244839,139
8.23471,0.017487,138.2
6.02131,0.0239151,135
7.72735,0.0838579,130
8.05554,0.0536277,129
9.3331,0.0308579,128
7.93017,0.0272378,128.8
8.53218,0.00843864,128.8
8.37608,0,129.6
8.63285,0,131.8
8.0928,0.0088968,125.6
8.49392,0,122
7.85015,0,123.6
6.91566,-0.0104111,125
9.66358,-0.00745065,129.4
8.78706,-0.0245816,138.6
8.37842,-0.0429675,143.4
7.95982,-0.0542726,148
6.51945,-0.0552194,150.6
2.14089,-0.0336309,149.8
1.90249,0.0756902,142.4
4.71144,0.0458459,140.2
6.98624,0.0515298,136.6
8.8692,0.0568258,138
9.65404,0.0372901,138
8.78642,0.0245834,137.4
9.22315,0.00780644,134.2
6.56944,-0.0219197,132.8
7.1404,-0.0302504,127.8
7.00704,-0.0924784,124.4
5.17988,-0.0833996,124.2
6.05179,-0.0713838,128.2
6.73748,-0.0961784,136.2
8.58143,-0.0755118,140.6
7.21068,-0.0998519,143.8
4.60957,-0.093718,147
5.73079,-0.0376912,147.4
7.84026,0.0183667,147
8.03505,0.0179215,145.2
9.76426,0.00737383,142.6
12.3837,0.00581411,143.4
10.9262,-0.0131794,144.6
11.0907,-0.0194758,146
9.76417,0.0221217,146.2
9.24897,0.0155693,148.6
9.84178,0.058526,150
9.40095,0.0229764,153
5.08708,0.028307,154.6
8.64027,-0.00833307,155.8
9.20714,-0.01564,154.6
8.7795,-0.0164018,155.2
8.82208,-0.0163227,157
9.92692,-0.021759,158
10.5733,-0.0204289,162.6
10.5523,-0.0204695,164.2
8.09311,-0.0177929,165
6.14219,-0.0117222,165
7.68321,-0.0187422,166
7.68526,-0.00936859,167.6
9.65179,-0.00745976,170
9.51535,-0.00756672,170
9.84398,0.0146282,170.2
11.0422,0.00652042,174.8
10.2749,0.00700735,178
10.0736,0.00714738,179
10.7794,0.00667941,181.6
10.8175,0,180.6
11.9587,0,179.4
10.2922,0,179.6
10.1598,0,179.8
10.4936,0,180.6
10.1401,-0.0071005,181
9.95352,-0.00723362,179
10.3159,0.00697953,179.8
10.6806,0.00674117,179.4
10.7034,-0.00672685,177
10.2507,-0.0140478,176.8
9.98941,-0.0216229,175
9.78679,-0.0294274,174.8
9.74619,-0.02955,175
10.0627,-0.0214654,175
10.4622,-0.00688194,133.2
10.4917,0,131.2
8.07686,-0.00891435,132
9.89544,-0.00727608,131.2
9.60936,-0.0149854,130.4
9.70801,-0.0148331,130.6
10.1247,-0.0142226,129.6
10.1923,-0.0141284,128.2
10.6442,-0.00676428,126
10.1743,0,122.2
9.61482,0,124.4
10.9154,0.0197886,125.4
9.96435,0,127.2
