speed,elevationGradient,heartRate
3.76868,0.114629,83
3.5303,0.142764,83
4.33589,0.132845,83
4.94978,0.0872765,83
4.43208,0.081226,83
4.50071,0.0799875,83
4.52114,0.0955512,83
4.4083,0.0979969,83
4.20084,0.0685578,83
4.23822,0.0339765,83
4.34153,0,83
4.57147,0.0157498,83
5.49502,0.0393083,83
4.33827,0.0497895,83
4.33826,0.0165965,83
4.33826,-0.0165965,83
4.33826,-0.033193,83
4.33826,-0.0829826,83.8
4.33826,-0.182562,85.6
4.33826,-0.0663861,88.4
4.91041,-0.058651,89
4.82436,-0.059697,86.2
4.01244,-0.143553,85.4
4.3843,0,83.4
4.50651,0,80.2
4.5586,0,79.8
4.30273,-0.0167335,82
4.17193,0,76.4
4.23104,-0.0340342,76
4.2029,-0.0342621,75
3.39762,0,76.2
1.46544,-0.0491322,81.2
2.07756,0,84.6
0.849579,-0.0847479,86.2
0,0,74.8
0.0529805,0,60.2
0.105961,0,58.6
1.73698,0,57.4
4.83911,-0.0297575,57
4.31606,-0.0166819,56.4
4.45391,-0.0161656,56
4.52108,-0.0318508,56.4
4.52186,-0.0159227,58.4
4.67943,-0.0153865,60.8
4.69997,-0.0153192,62.8
4.82444,-0.014924,66.2
4.73223,-0.0304296,67.2
4.63385,-0.0155378,69.2
4.94953,-0.0436405,73.4
4.88726,-0.0294644,75.6
4.72196,-0.0457437,80.2
4.77159,-0.0603572,80
5.11986,-0.0281258,79
5.47327,-0.0263097,79.8
4.40824,-0.0326661,81
4.84839,-0.0445509,81
5.43639,-0.0397323,78
5.06751,-0.0426245,77.8
4.88408,-0.0442253,76.6
5.19828,-0.0554029,75.2
5.57157,-0.0387682,76.6
5.38004,-0.066914,77
4.8589,-0.0592727,77.4
4.81951,-0.0746964,74.6
5.25933,-0.0821397,74.4
3.15652,-0.0684299,75.6
0.324938,0,78.6
0.133,0,78.6
0.21302,0,78.6
0.849453,-0.0847604,85.6
4.45563,-0.0484779,88.4
5.2531,-0.0411186,90.6
