speed,elevationGradient,heartRate
1.15658,0.124505,76
3.46387,0.145502,78.2
4.62339,0.093438,85.4
4.19283,0.137377,86.4
3.83266,0.131501,87
4.48042,0.0964196,89.4
4.25342,0.0846377,91.8
4.3176,0.0667037,82.2
4.88754,0.0883881,81.6
5.40997,0.10647,82
5.23551,0.0687612,82
4.95514,0.0290607,80
4.45558,0,77.6
4.13408,0.0174162,74.6
4.23476,0.0340043,69.4
4.47435,0.0643668,65.4
4.28491,0,67
4.94292,0,65.2
4.47767,-0.0160798,64.6
3.96542,-0.0726279,66.8
4.91365,-0.0586123,72.4
4.23886,-0.0339714,75.4
4.96893,-0.13041,75.2
5.12844,-0.0842361,88.6
4.13013,-0.0871643,93
5.00511,-0.100697,94.6
5.29664,0,96
4.55978,0,94.8
4.34856,-0.0165572,93.8
4.74275,-0.0151811,93.4
4.7757,-0.0301527,92.8
4.33823,-0.0165966,89.8
4.23329,-0.017008,87.2
4.68664,-0.0307256,85.6
4.93371,-0.0145935,83
5.09232,-0.0282779,84.6
4.92718,-0.0292256,84.8
4.50689,-0.0159755,83.8
4.94345,-0.0145647,82.6
5.31855,-0.0135375,82
4.88073,-0.0147519,81
4.55632,-0.0316044,80.4
4.56342,-0.0315553,80
4.78167,-0.030115,80
4.78165,-0.0451727,82.8
4.72887,-0.0456769,86.2
4.67608,-0.06159,85
4.68607,-0.0153647,85
4.85778,-0.0296432,86.4
4.93003,-0.0438131,88
4.82502,-0.0447666,87.4
4.46456,-0.032254,87.4
4.29874,-0.0502473,85
4.30628,-0.0501593,83.8
4.51057,-0.0478876,83.2
4.62589,-0.0622583,83
4.78307,-0.0602124,84.6
4.76078,-0.0604943,86
4.735,-0.0608237,85.2
4.62842,-0.0777803,83.4
4.47919,-0.0803717,79
4.46691,-0.0483556,79
4.47631,-0.0643387,78.2
4.48218,-0.0481908,77.8
4.43806,-0.04867,81.8
4.31976,-0.0666704,84.6
4.09484,-0.0527493,86.2
3.99397,0,89.6
4.05659,0,90.2
4.0722,0,92.4
4.03165,-0.0357174,95.4
4.02915,-0.0357395,97
4.23981,-0.0339638,100
4.25906,-0.0338103,102.2
4.28368,-0.033616,101.2
4.3824,-0.0328587,100.6
4.35354,-0.0496149,98.8
4.4378,-0.0648971,91.4
4.40693,-0.0816895,84.4
4.29868,-0.117245,82.4
4.20073,-0.0685595,82
4.20926,-0.0855256,82
4.46178,-0.0484112,82.6
6.2766,0.0114712,85.4
9.01919,0.0319319,86
9.12541,0.0552304,89
8.78175,0.0409941,92.4
8.21467,0.043824,95
10.0112,0.0287677,98.4
10.0867,0.0214142,102
8.7099,0.00826645,104.4
7.24701,0.00993513,109.4
7.32077,0,111
7.559,0,113.4
6.26788,0,123.4
5.41566,0,127
5.52308,0,127.4
6.04701,-0.0595336,131.2
5.87159,-0.0613122,135
5.5806,-0.0258037,142.4
6.01663,0.0119668,154.8
6.08734,0.0591391,159.6
6.71427,0.0857874,163.8
7.43013,0.0678319,165
6.91267,0.0520783,164.8
6.13087,0.129182,164.2
7.12367,0.0909644,165.4
7.80082,-0.00922979,167.4
7.54422,-0.0286312,166.8
7.58714,0.037959,167.4
8.26318,0.0348534,168.2
8.3749,0.128957,167.4
7.50115,0.115182,164.8
8.10242,0.106635,164
8.96268,0.112466,164.4
9.36694,0.115299,165
9.1255,0.11835,165
8.69841,0.132438,167
8.25468,0.130835,170
8.03619,0.134392,171.6
7.98273,0.126273,171.6
8.06015,0.142925,170
8.16716,0.141053,169
8.28039,0.139124,172
7.95542,0.135756,172.8
7.32979,0.147344,172.2
7.10488,0.152008,171.2
7.19244,0.160168,167.4
7.3582,0.127205,164
7.39206,0.146103,163
7.20646,0.149866,165.6
7.11727,0.141627,164.6
7.18,0.150418,163.4
7.66809,0.140843,165.2
8.10306,0.124398,166.8
8.2319,0.0962111,165.8
8.1329,0.0708234,166.8
8.62148,0.0668098,167.6
8.36291,0.0516567,167.8
7.83386,-0.137863,166
7.54922,-0.0858367,165.8
7.55827,-0.0952599,168.4
7.8095,-0.0921954,169
8.14825,-0.106035,168.6
8.57492,-0.100759,165.6
8.98099,-0.112237,162.8
8.84997,-0.113899,163.2
8.17422,-0.105698,167.4
7.96213,-0.108514,169.6
9.03156,-0.0876924,169
9.47039,-0.0608212,168.2
9.36315,-0.0461383,168
9.53362,-0.0377611,168
9.91753,-0.0290395,167
9.17282,-0.0313971,165
11.1423,-0.0258475,160
10.5848,-0.0204066,160.8
9.51886,-0.00756393,168.4
8.93151,0.00806135,169.6
8.04536,0.0268478,168.6
8.22622,0.03501,167.8
8.43234,0.0341542,168
8.3709,0.0344049,169
8.63515,-0.0583661,169
8.74907,-0.0411473,169.4
8.47281,-0.0339911,170.8
7.61442,-0.0756459,170.8
7.40707,-0.0777636,171.2
7.60156,-0.0947174,169.6
7.72557,-0.121156,168.2
7.78313,-0.203517,169
7.64539,-0.197766,169.4
7.60229,-0.236771,170
7.43527,-0.27114,170
7.65844,-0.253838,171.4
7.91012,-0.172943,173
8.00546,-0.0449693,171
7.66645,-0.0469578,169.2
7.0438,-0.0919958,167
5.37201,-0.0938196,168.6
