speed,elevationGradient,heartRate
3.41098,0,75
3.90283,0,75.6
4.28349,-0.0168087,86.6
4.51213,0,90.6
5.11973,0,90.4
3.61607,0,87.2
4.8757,-0.0147671,88.8
4.87265,-0.0147764,84.8
5.22899,0,86
5.35079,-0.013456,86.2
5.37365,0,87.6
5.04228,-0.0142793,89
4.85226,0,87.6
5.25332,-0.0137056,83.2
5.28956,-0.0136117,81.2
5.21835,-0.0137975,84
5.09576,-0.0141294,80.6
5.26753,-0.0273373,79.8
5.15529,-0.0418987,81
5.15451,-0.0139684,82
4.89863,-0.014698,80.4
5.268,-0.0136674,79.6
4.92801,0,80.6
0.325946,0,83.8
0,0,85.4
0,0,86
1.30316,0.0552502,85
5.02613,0,84.6
4.97997,0,84
4.49747,0.016009,87
6.43015,0.0223945,88.2
9.431,0.0152688,88
10.717,0.0134367,90.6
8.39797,0.0257205,97.4
7.52471,0.0287054,103
9.56059,0.0150618,106.2
10.1486,0.0141892,108.6
8.66963,-0.00830486,110.8
8.16261,-0.0176414,115.2
8.31636,-0.0259729,118.6
9.16361,-0.0314287,119.2
9.74659,-0.0295488,121.4
9.94071,-0.0144859,122.6
9.07883,-0.0158611,124.4
9.85091,-0.0146179,128
8.94676,-0.00804761,127.4
8.83892,0,127.8
9.36297,0,125.4
9.88622,0,125.4
10.4253,0,124
10.3335,0.0139352,125
9.96872,-0.00722259,127.8
9.61428,-0.00748886,127.8
9.04161,-0.00796319,127
8.8189,-0.00816428,126.6
9.29349,-0.00774736,128.6
9.89872,-0.00727367,130
9.16891,-0.00785262,129.6
7.54305,-0.0190904,127.6
5.81389,-0.0123841,128
7.06087,-0.010197,127.2
8.62606,0,125.8
9.58224,0,125.8
8.77691,0.0164067,124.4
8.95207,0.0241285,125.6
8.93947,0.0241625,126.8
8.53526,0.0337424,125.2
8.44827,0.0255674,121.4
10.7646,0.0267545,121.4
10.0825,0.0142822,122
9.91229,0.00726371,122.2
9.14323,0,122
9.5311,0.00755422,124.2
9.89153,0.00727895,125.6
9.08053,0.0158581,127.4
8.4618,0.00850882,125.8
8.65606,0.00831787,123.4
9.02688,0,122
8.8774,-0.00811049,121.4
9.48427,-0.015183,120
9.83759,-0.00731886,121.8
9.54763,0.00754114,121.2
9.01649,0.0159707,120.8
8.74767,0.0246923,119.2
7.97565,-0.0361099,117
8.80074,-0.0245434,117.6
8.55438,0.00841674,118
9.00136,0.0159976,117.8
8.95212,0.00804279,117
9.30942,0.0077341,117.6
9.13389,0.00788273,115.4
8.50309,0.00846751,115.6
9.76831,0.00737077,123.6
9.95114,0.00723535,125
9.23346,0.00779773,126.4
7.89893,0.00911515,125.8
10.3566,-0.00695211,123.2
10.9233,-0.00659144,124
9.53087,-0.0075544,125.2
8.68973,-0.00828564,125.6
8.35437,-0.0172365,124.2
8.30828,-0.00866605,124.8
7.97346,-0.0180599,125.4
8.31518,-0.0173177,124
9.28696,-0.0077528,122.8
8.32005,0,122
8.70625,-0.00826992,122
10.1277,-0.0071092,121.4
9.68634,0,121
10.9759,-0.0065598,123.2
9.54068,0,123.4
8.94381,0,123.8
8.11672,-0.00887057,125.2
9.36128,0,123.2
10.1241,-0.00711173,122.6
9.05097,-0.00795495,124.4
8.98044,0.00801743,125
8.57429,0.0083972,123.2
8.01842,0.026938,122.6
10.3257,0.0139457,121
10.4935,0.00686141,121
8.87705,0,120
7.87812,-0.00913924,120
7.46651,0,119.8
9.10045,0,118.8
9.71655,0.00741004,119.2
11.851,0,119
9.86797,0,119.6
9.02387,0,121
9.11551,0.00789862,122
8.62686,0,121.2
8.42076,0,122.2
8.67652,0,124
9.14657,0,123
9.29545,0.00774572,122.8
9.54073,0,120.4
8.53518,0,119
9.19739,0,118.2
8.78486,0,122.6
10.2951,0,124.6
11.8435,0.00607929,125
10.1276,0,126
9.15238,-0.00786681,125.6
9.72265,-0.00740539,126
8.32804,-0.00864549,128
8.49395,-0.00847662,124.2
8.80638,-0.0163518,120.6
8.80461,-0.0163551,120.4
8.0837,-0.0267205,120.2
8.24379,-0.0262016,121.4
9.43367,-0.0228967,123
9.06968,-0.0158771,122.2
9.71929,-0.00740795,121.6
9.13761,-0.0236386,117.4
11.1217,-0.0129477,117.2
10.7267,-0.0134244,119.4
10.0161,0,120.8
8.34599,0,121
7.59065,0.00948536,118.2
8.4328,-0.0170762,118
9.38283,-0.00767359,120
8.28961,-0.0173711,121
8.01603,-0.008982,121.4
8.56694,0.0084044,120.8
7.78636,0,121.8
8.73839,0.0082395,120.4
5.59142,0,118
7.31125,0,115
9.44887,0,115.8
4.93166,-0.0145996,114
1.68217,0,112.6
9.81009,-0.00733938,112.8
6.20253,0,110.6
2.2831,-0.031536,110
0.373978,0,105.8
0.550526,0,94.2
8.4728,-0.00849779,89.8
10.3484,-0.0139151,92.2
10.39,-0.00692972,104.2
9.71782,0.00740907,107
9.37991,0.0230279,108.4
9.66474,0.0372488,109.4
9.86968,0.0145901,111.8
9.49467,0.00758321,112.8
9.16463,0.00785629,115
9.62864,0,115.2
9.85339,0,114.6
8.53039,0.0422021,114.6
7.19086,0.0500636,115.4
5.76062,0.037496,113
7.64332,-0.00941999,112.8
8.83525,0,114
7.97243,0.0451556,116.8
7.69755,0.00935362,123.2
9.02325,0,125.6
8.07787,0.0267397,130.2
9.92595,0.0362686,132.8
7.74692,0.120822,133.6
6.49331,0.0221767,132
8.32172,0.0173041,132
10.1012,0.0285116,132.8
6.72025,0.107139,134
5.98319,0.120337,134
6.3513,0.136035,134
6.02076,0.107628,133.2
5.55956,0.0906546,135.4
5.67604,0.0887943,136
6.03875,0.083461,137
6.29757,0.0685978,139
6.40135,-0.0112476,139.4
5.08467,-0.141602,141.8
6.35559,-0.135943,143.6
6.67273,-0.0107902,143.6
4.93493,-0.0145899,142
1.54505,-0.0466003,141
0.422165,-0.170549,139.2
0,0,137
0,0,127.4
0,0,113.4
0,0,105
0,0,96.2
0,0,95
0,0,95
0,0,97.4
0,0,98
0,0,95
0,0,90.8
0.133473,0,87.4
0.799751,0,84.6
7.58577,-0.00949145,85.6
9.01276,-0.0159774,90.6
7.83359,-0.0183824,93.4
6.8512,-0.0210182,98.6
7.49558,-0.00960566,102.2
7.45238,-0.0193227,103
7.92711,-0.0272483,105.6
7.98486,-0.0360683,105.2
11.4592,-0.0251326,106.2
12.5416,-0.0172226,106.8
11.9635,-0.00601831,105.8
10.0291,0,104.4
9.111,0,105.8
10.1079,0.0213694,106
10.5409,0.0204916,107.8
10.0753,0.0142924,109
10.9642,0.0197005,111.2
8.72124,0.0165114,111.8
7.95738,0.0090482,114.2
7.618,0.0189026,115.6
12.2011,0.0118022,117
9.7566,0.00737962,115.4
9.65126,0,114
10.4924,0.00686209,112.4
10.3323,-0.0139369,111.4
9.86065,-0.0146035,112.6
9.63578,-0.00747215,112.8
9.62837,-0.00747791,111.2
9.84749,-0.00731151,113.4
9.8669,-0.00729712,114
9.10888,0,115.8
8.1378,0,119.4
8.74007,0.00823792,124
9.57996,0.00751569,125.6
10.2899,0.0139943,126.8
8.52292,0.0253434,126.8
7.89601,0.0182371,124
6.34135,0.0227081,125
3.69465,0.0194877,128.2
5.922,0.0121581,131
4.62048,0.0155828,132.4
5.38595,0,134.8
6.08223,0.0118378,137.2
7.77324,0,139
10.0055,-0.0143921,139.6
8.67732,-0.00829749,140
9.35598,-0.00769561,141
9.38247,-0.00767388,139.4
9.60231,-0.0074982,137
9.68035,0.0148755,136
10.6293,0.0270949,133.2
8.84564,0.0244188,130
8.35811,-0.0516863,128.2
8.52838,-0.0253272,128
9.26599,0,126.4
10.6065,0.0203649,125.4
10.2426,0,124.2
6.43073,-0.0335887,123.4
8.5653,-0.0588421,122
7.63851,-0.0471296,110.6
10.0266,-0.0789903,107.2
9.79549,-0.0588025,106
9.94157,-0.0362116,106.8
10.0539,0.0143228,105.8
8.58202,-0.00838963,107.4
8.63114,-0.00834189,108.6
9.72957,-0.0222004,106.8
9.95893,-0.0216891,106
9.32411,-0.0154438,108.2
7.64596,-0.0282502,110.2
6.60908,-0.0326823,107
9.72051,-0.0444421,108.2
9.7069,-0.0296696,109.2
10.1513,0,111
9.74443,0,112
9.91536,0.00726146,111.8
9.89371,0,115.6
8.40462,0,118.6
7.08404,0,119.2
7.97223,-0.00903135,117.2
7.08641,0,113.8
10.4974,0.0137176,112
8.12061,0.0177327,112.8
7.19125,0.0100122,111.4
12.4239,0.00579527,112.6
11.8715,0,118.4
10.4525,-0.00688833,119.6
10.7197,-0.0134332,120.6
10.6263,-0.0135513,120.4
9.49304,-0.015169,118.4
11.1538,0,118.2
10.3261,0.0069726,119.6
9.77479,0.0147318,119.2
11.0076,0,118.2
10.3076,0,119.6
9.78463,0,121.6
9.64557,-0.00746457,123.4
9.40969,0.00765169,124
10.1517,0.0141848,124
10.914,0.0131941,125.6
10.5291,0,125.4
10.8973,-0.0132143,121.8
