speed,elevationGradient,heartRate
4.25901,0.101432,88.4
4.53097,0.111234,84.6
4.93317,0.116761,79
5.54523,0.129841,76.8
5.55285,0.142629,76
5.62463,0.102407,77
5.24832,0.123468,81
4.3715,0.131763,86.2
4.11035,0.1051,85.8
4.74357,0.0758922,85.8
5.36606,0.080506,85.2
5.20756,0.0829563,81.6
4.80503,0.10489,87
4.992,0.0576924,89.4
5.8511,0.0246108,87.2
5.55127,0.01297,86.8
5.3046,0.0135731,84.6
5.35394,0.0537922,84
5.11581,0.028148,82.2
4.83138,-0.0149026,80.6
5.05995,-0.0284588,80.4
5.7116,-0.0756355,81.6
4.19491,0.0343273,82.6
5.46346,0.144963,87.4
5.75535,0.0625505,89.6
6.29147,0.102997,89.6
5.6853,0.0633212,95
5.2781,0.0682063,96.4
5.36729,0.067073,96.4
5.45929,0.0791312,92.2
5.36247,0.0671333,95.4
5.30286,0.0678879,93.6
5.39873,0.0400094,92
4.74608,0.0303408,93
4.98444,0.0288899,92.8
5.32249,0.0405825,95.6
5.78294,0.0249008,97.2
5.79099,0.0372993,98.4
4.99904,0.0144028,99.4
5.20544,0.0138317,98.8
5.84503,0.0246363,98
6.08727,0.0354839,98.2
5.44394,0.0264514,96
5.14286,0.014,95.4
7.20297,0.0399835,95.6
5.55443,0.0388878,92.2
6.80293,0.0423347,89.4
5.60138,0.0385619,85.4
5.52271,0.0391112,86
5.60138,0.0385619,88
5.60138,0.0385619,85.2
4.8189,0.0298823,85.8
5.05376,0.0427404,87.6
4.34671,0.0165643,88
4.94274,0.0291336,88
5.24573,0.0137254,91
4.99862,0.0288079,92.8
5.29438,0.0271986,89.6
5.54969,0.0389211,86.2
5.60389,0.0385447,87.6
5.36132,0.0402886,88.8
5.13249,0.0420849,89.2
5.05662,0.0427163,91.2
5.44645,0.0396589,94.8
5.60389,0.0513929,96
5.12688,0.0421309,97
4.90452,0.044041,98
5.72175,0.0629178,97.2
5.83268,0.0123442,97
5.70847,0,97
4.91096,0,96.4
5.06822,0,93.2
4.75371,0.0151461,91.4
4.73588,0,87
4.68796,0.0153585,81
1.35782,0,81
0.0529846,0,81
0,0,80.6
0,0,80.2
0,0,79.2
0,0,78.4
0,0,76.2
0,0,76.4
0,0,76.6
0,0,81
0,0,87.6
0,0,90.8
0,0,93.6
0,0,94
0.0800198,0,95.6
0.0529846,0,96
0.501381,0,95.2
3.64188,0.01977,90.8
5.45198,0.0396186,84.4
8.36976,0.0258072,88.4
9.64412,0.0373284,92.8
10.1051,0.0356254,99.8
9.91897,0.0290353,108
9.41269,0.0152985,116
8.77251,0.0328298,119.2
10.6696,0.0202444,122.4
11.2425,0.0128085,125.2
11.1826,0.0128771,127
10.3517,0.00695536,127
9.71464,0.0074115,127.6
9.68367,0.0074352,128.2
9.87602,0.00729039,128
9.46463,0.0228218,128
8.75694,0.0246661,130.2
8.19284,0.0351526,131.4
9.48507,0.0379544,130
10.5812,0.0340225,130
10.5357,0.0341695,130
11.1895,0.0128693,131.4
12.2438,0.011761,132
11.8192,0.0243671,131.6
10.9375,0.0263314,147.4
9.98681,0.028838,170.8
10.7518,0.0267861,172.6
10.8774,0.0198577,175.8
9.93597,0.0072464,175
11.0065,-0.0196247,175
12.7056,-0.0396676,172.6
12.3377,-0.0350145,169.6
10.9587,-0.045991,168.4
11.2568,-0.0767539,170.8
11.9409,-0.0602971,172.2
12.0285,-0.0658439,175
12.4116,-0.0406072,177.6
10.8828,-0.0396956,177.8
9.92476,-0.0362729,176
10.5835,-0.0476212,173
12.4885,-0.0461224,172.2
14.2162,-0.0506463,171.4
10.3189,-0.0348873,171.6
9.71028,-0.00741482,172.2
9.78427,0.0220763,174
9.72916,0.0296017,175.8
9.60182,0.0449915,174.6
9.06174,0.0874004,174.6
7.09484,-0.0202965,171.2
7.42495,-0.0290911,171
9.56323,-0.0150577,170.6
7.57385,-0.0190128,174.6
7.79125,-0.0277234,176
8.9725,-0.016049,175.4
10.0831,0.0142814,174
10.6137,0.0135674,174.2
10.5749,0.0136171,173.6
10.1283,0.0142176,172.2
9.9917,0.0288239,174
9.88562,0.0291332,177.4
7.54064,0.0190965,178.8
4.52937,0.0158963,175.6
5.99726,0.0120055,175
11.0319,0.013053,177.2
9.8591,0.0146058,177.8
9.93921,0.0217321,177.8
10.1091,0.0142445,177.6
9.5909,0.0150142,177.4
9.2455,0.0155751,177
9.54862,0.0150807,174.8
9.8096,0,172
9.82517,0,171.4
9.63506,-0.0298908,172.4
9.74366,-0.0295577,172.6
10.2372,-0.0492321,172
10.6624,-0.0405163,172
10.0252,-0.0215457,173.2
9.70961,-0.0148307,174.6
9.46027,0,174.2
9.71096,0.0074143,173.4
10.1201,-0.00711456,173.6
10.1529,0,173
10.1557,0,155.2
10.2872,-0.00699899,127.4
10.5443,-0.00682836,126.2
10.5513,0,125
10.2052,-0.00705526,124.6
10.253,0,125
10.3896,0,123.2
10.6715,0.0134939,121.8
10.6369,0.0203066,122.6
10.729,0.0335539,124.2
10.8192,0.0266194,124
10.6869,0.0269489,124.4
10.9452,0.0197347,125
11.1179,0.0194281,125.8
10.6982,0.0134602,122.2
10.7478,0.013398,121.8
10.89,0.0132232,122.8
10.4931,0,121.2
9.98035,-0.0144283,120
9.96966,-0.0288876,121
10.5697,-0.0476833,122.2
10.5398,-0.0409876,125.4
10.8809,-0.0330855,126.8
10.7746,-0.0200472,126.2
11.0323,-0.00652627,126.4
11.0257,0.0065302,127
11.3054,0,127.8
11.2551,-0.00639713,127.4
11.1486,0,127.6
10.8197,-0.00665451,127.2
10.7762,0,128.8
11.0213,-0.0065328,130.4
10.5024,0,132.2
10.5074,0,136.6
10.5619,0,139.8
10.7093,0.0067231,141.4
11.1345,0.0258655,145.2
11.4815,0.0313549,147.8
11.3387,0.0317497,151.6
11.0928,0.0194722,157.6
11.2209,0.0192498,167.4
11.0447,0.0130379,172
11.0799,0.0194947,175.8
10.8401,0.013284,178
10.6466,0.00676275,175.8
10.4941,0,174.8
11.2231,-0.0256613,174
11.0408,-0.0456488,174.4
10.7736,-0.0334151,175
11.1179,-0.0453322,175
10.7209,-0.0201476,175
11.1582,-0.00645266,175.2
11.7092,-0.006149,175.8
11.6131,0.0061999,177
11.7309,0,177.6
11.8908,-0.00605511,176.6
11.7237,-0.00614139,176
11.5647,0,175.6
11.5298,-0.00624469,174.8
11.7557,0,175
11.202,0,174.6
11.1708,0,175
11.7929,0.018316,174.8
11.9992,0.0240017,175.2
11.5104,0.0375313,178.6
11.8191,0.0182754,181
11.8319,0.024341,182.6
12.1418,0.0177898,185.4
11.9101,0.0181359,180
11.7788,0.0183381,174.6
11.6717,0.00616879,169.2
11.5334,-0.00624276,165.8
11.4613,-0.00628199,166.2
11.1145,-0.0388681,167.2
11.6412,-0.0494794,168.4
11.4935,-0.0438509,172
11.1017,-0.0194564,173.2
11.3758,-0.00632923,177.8
11.6157,0,180
11.7618,0,182.6
12.8251,0,186.8
12.8331,-0.00561047,185.4
12.1944,0,182.2
12.2052,-0.00589912,181.2
12.0901,0,180
11.3274,-0.00635629,179.2
11.2991,0,179
11.2449,0.00640292,178
10.9614,0.013137,177
11.4244,0.0315115,177
12.0702,0.0298254,134
12.0114,0.0239772,133.6
11.3481,0.0253786,133.2
11.5392,0.0187189,132.4
11.6504,0.0123601,130.2
11.216,0.00641941,130.4
11.134,0.0194001,131
11.4864,-0.00626829,131.4
11.5661,-0.0186752,129
11.722,-0.0429961,127.8
11.777,-0.0427951,128.4
11.2491,-0.0384031,130.2
10.5018,-0.0137119,131.4
12.2762,-0.01173,131
12.3883,0.00581193,132
13.0223,0,133
12.0984,0,133
12.181,-0.00591082,132
12.1944,-0.00590435,132
11.6707,0,130.6
11.6716,-0.00616884,129.8
11.6948,0,130.2
11.1716,0,131.6
11.0687,0.0130097,130.6
11.236,0.0192239,129.6
11.6081,0.0310128,130.2
12.153,0.0236979,131
12.1006,0.0297506,131.8
12.2406,0.0176463,132.4
12.7189,0.0169826,133.6
12.6101,0.0114194,134.2
12.0911,0.0178644,135
11.6281,0,135
11.7708,-0.0122336,134.4
12.2452,-0.0293992,134.2
12.7122,-0.0453107,134.2
11.8762,-0.0363752,134.8
11.3823,-0.0316281,134.6
12.2484,-0.00587831,134
11.9054,-0.00604765,133.4
12.4578,0.00577952,133.8
12.792,0,131.6
12.4045,-0.00580433,132.4
12.3361,0,132.8
12.1001,-0.00595035,134
11.7615,0,134.4
12.0255,0,133.6
11.6406,-0.00618524,132.2
11.2748,0.0127718,131.4
10.8846,0.0132298,130
11.2157,0.0320978,129.6
12.2988,0.0292712,130.2
12.1299,0.023743,131
12.0624,0.0238758,130.6
12.152,0.0118499,130.8
12.1453,0.0177847,130.6
11.6837,0.0123248,128
11.1019,0,128
11.2284,-0.00641232,129.4
11.5276,-0.0187376,130.6
11.73,-0.0368286,131.4
11.7297,-0.049106,132
11.8908,-0.0363307,132
12.1892,-0.0118137,131.6
12.4892,-0.00576499,132.2
12.1758,0.00591338,133.4
13.2603,0,133
12.6803,-0.00567811,133.4
12.0911,0,133.6
11.9957,-0.00600216,133.4
11.6503,0,134
12.175,-0.00591376,135.4
12.0366,0,134.6
12.2182,0.00589284,134.2
11.5382,0.0187204,134.8
11.6831,0.024651,134.8
12.2144,0.0353681,134.8
12.631,0.022801,134.8
12.5843,0.0228857,134.6
12.5358,0.0114871,135
12.4039,0.0174139,136
12.2161,0.0117878,135.2
11.8446,0.00607874,136
11.5482,-0.00623473,136.4
12.0537,-0.0298664,135.6
12.3495,-0.0408113,135.8
12.2857,-0.0468838,136
11.9969,-0.0240061,135.6
11.9106,-0.01209,135
11.9444,-0.00602791,135
12.6589,0.00568768,135.6
13.35,0,135.6
12.8833,0,136.8
12.6201,-0.0114103,136.6
12.7853,0,138.2
12.5265,0,138.2
11.9205,-0.00604004,136.8
11.7639,0,137
11.2076,0.0128485,136
12.5474,0.0172147,132.8
12.1459,0.0414953,135.2
12.3291,0.0233594,136.6
12.1339,0.0237352,137
12.7621,0.0169251,137
13.0617,0.0220492,137.4
12.7665,0.0112795,139
12.1863,0.0118165,139
11.6857,-0.00616136,138
11.513,-0.0187614,138
12.0263,-0.0419082,137
12.3893,-0.0464916,135.8
12.4272,-0.0347624,136
11.9453,-0.0180824,137
11.8864,-0.00605733,137.4
12.727,0.00565727,136
12.7878,0,135.4
12.6395,-0.00569641,136.8
12.3533,-0.0058284,136
12.1021,0,136.6
12.266,0,137
12.5674,-0.00572911,135.6
12.3027,0,136
12.5175,0.00575194,135.8
11.6081,0.0186077,136
11.4928,0.0313239,136.2
13.2431,0.027184,136.4
12.7925,0.0225133,136
12.8556,0.0224027,137.8
13.0447,0.0165584,138.6
12.9771,0.0110964,138
12.7499,0.0112942,139.2
12.8105,0.00562041,139.8
12.5927,-0.0114352,139
12.3905,-0.0348654,140
11.9386,-0.048247,140.2
11.7775,-0.0427933,139.6
11.6168,-0.0185937,138
11.6521,-0.00617916,139
12.0709,-0.00596474,138.6
12.7404,0,138
12.4922,0,136.6
12.7612,-0.00564209,137
12.9406,0,136.2
12.5284,-0.00574694,135.4
12.295,-0.00585603,134.6
12.277,-0.00586465,135
11.9694,0,134
11.8395,0.0121627,133
11.7859,0.0244359,132.4
13.8774,0.0311298,133
13.4598,0.0267463,135
12.3381,0.0175068,136.6
11.4718,0.0188289,137.8
11.5302,0.00624447,135.8
11.8277,0.0182622,133.2
12.134,0.00593372,135.2
12.0297,0,135.2
11.9355,-0.0241298,135
12.1422,-0.0474378,135.4
12.5188,-0.0460109,136.8
12.241,-0.0294094,137.8
11.9155,-0.00604256,136.8
12.2459,-0.0058795,136.4
12.8098,0,135.8
12.8617,0,136.2
12.8698,-0.00559447,137
13.1592,0,138.2
12.9355,-0.00556609,139
12.3517,-0.00582914,139
12.1935,0.00590479,139.2
12.0675,0,139.6
12.1817,0.011821,138.4
12.4235,0.0231819,139.6
12.9841,0.0332714,140
13.11,0.02746,141
13.2955,0.0162461,139
13.4165,0.0214661,138
13.0138,0.0165978,138
11.8293,0.00608658,139.2
11.3072,0,140.2
11.8043,-0.00609949,141.6
11.1361,-0.0193963,141.4
11.0321,-0.0522111,140.8
12.8811,-0.039127,140.6
12.7768,-0.028176,141
12.5987,-0.0114298,141.6
13.2132,-0.0054491,142.2
12.5381,0.00574251,141.8
12.6305,0,141.4
12.5519,0,140.8
12.1402,0,139.6
12.0739,-0.00596329,138.8
12.3081,0.0058498,138.2
11.8836,0.00605878,139.4
11.4002,-0.00631571,139.6
11.433,0.0188927,140
9.66291,0.0149023,138.4
4.38005,0.0164382,135.4
1.00143,0,131.6
0.0529873,0,128.6
0,0,120
0.0529873,0,111
0,0,101.2
0,0,95.2
0,0,93.4
0.0800198,0,93.4
0,0,92
0.0529873,0,89
0.0529873,0,88
1.77584,0.0405443,85.8
4.74948,0.0151596,81
4.73389,0.030419,80.6
4.48463,0.0321096,78.4
4.25288,0.0169297,75
3.86733,0.0186175,74.4
3.88556,0.0185301,78.6
4.43548,0.0324655,81.6
4.15849,0.0346279,81
4.2503,-0.0338799,78.8
4.90009,-0.0293872,77.2
4.41593,-0.0163046,77.8
4.76552,-0.030217,78.6
5.57535,-0.025828,81.6
5.13057,-0.0421006,81
4.86762,-0.0147916,76.8
5.17146,-0.0278451,73.2
5.22908,-0.0137692,79.8
4.9458,-0.0145578,87.2
5.17083,-0.0278485,90
5.36919,-0.0134098,90
5.53198,-0.0130152,88
5.46156,-0.013183,87.2
4.96279,-0.014508,86.4
4.58071,0,90.6
5.11775,0.0281374,89
6.28783,0.0229014,88
6.71163,0.0321829,84.4
6.40669,0.0224765,82.4
5.22086,0.0275817,86.8
3.399,0.0211827,89
3.42365,-0.0630906,89
5.02996,-0.114514,90
6.52467,-0.11035,91.8
9.82276,-0.0586393,95.2
11.6062,-0.0372216,103.8
11.241,-0.0192154,108.6
11.992,-0.018012,111.2
12.1269,-0.0178116,111.8
9.86268,-0.029201,112
9.2695,-0.0233022,112.6
9.59435,-0.0225133,112.4
9.8408,-0.014633,113.4
6.17005,-0.0116693,113.6
6.50965,0,111.2
8.60407,-0.0251044,110
9.87151,-0.0364686,110
10.6852,-0.0673831,110.6
11.2669,-0.0447327,112
11.0186,-0.045741,112
10.2202,-0.0634038,110.2
9.72959,-0.0740011,110
