speed,elevationGradient,heartRate
2.82977,-0.0254438,86
3.52157,-0.0408908,84.2
4.14336,-0.0347544,80
7.20474,-0.0299803,79.6
8.67686,-0.0331917,83
8.46973,-0.059506,92
8.51527,-0.0591878,101
9.19995,-0.0391306,104.6
8.83112,-0.105989,107.8
8.98186,0.0240485,113.6
9.28586,0.0310149,120.4
8.65737,0.0249498,123.8
8.86696,0.0162401,127
9.1654,0.00785563,127.8
9.37526,0.0383989,130
8.95777,0.0482263,132.6
8.38851,0.051499,134
8.73687,0.0659275,135.4
8.18128,0.0528034,136.8
7.88302,0.0456678,136.4
7.99291,0.0540479,137
8.04803,0.0536777,137.2
8.07315,0.0713476,137
7.96291,0.0632935,136.2
7.89566,0.0547136,133.2
7.87954,0.0639631,132.6
7.88742,0.0547708,134
8.06123,0.0625215,136
7.99021,0.0540662,136
7.8184,0.0644633,137
7.45705,0.0675871,138.4
7.56034,0.0571403,136.2
8.16242,0.0529255,135.2
8.7383,0.0659167,139
8.9584,0.0401857,140.8
8.91909,0.0403629,142.4
8.66909,0.0249161,147
8.74027,0.0247132,150.8
8.63914,0.00833416,153.6
8.40742,0.0171277,158.4
8.25649,0.00872041,164.2
8.30296,0,170
8.58011,0,169.6
9.01735,0,169
8.985,-0.00801335,169.8
8.99516,0,170
9.13457,0,170.2
9.12441,0,174.4
8.86974,0.00811748,175.4
8.37886,0.00859305,176.8
8.31031,0.00866394,176
8.98038,0.00801748,173
7.21907,0.00997358,173.8
7.29532,-0.167779,172
8.22142,-0.122607,168.2
7.84587,-0.128475,168.8
7.68588,-0.121782,168.8
7.68492,-0.131166,170.4
7.8489,-0.128426,171.6
7.64214,-0.1319,172.8
7.35875,-0.127196,169.2
6.90145,-0.135624,168
6.47978,-0.133338,163.6
6.41355,-0.134715,163
6.8979,-0.125256,162.8
7.3508,-0.107743,162
7.45538,-0.106232,162
7.62282,-0.0944532,163.6
7.92625,-0.0908374,167.4
8.08867,-0.0979147,171.6
8.33073,-0.086427,173
