speed,elevationGradient,heartRate
0.775836,0.0928031,103
0.531568,0.135448,103
1.29271,0.111393,103
1.7331,0.124632,103
1.82651,0.118258,103
1.96046,0.110178,103
3.32018,0.108428,103
1.7781,0.121478,103
0.457723,0.1573,103
0.503652,0.142956,103
0.529813,0.135897,103
0.423851,0,103
0.264907,0.271794,103
0.201932,0,103
0.105963,0,103
1.12697,0.127776,103
2.29406,0.125542,103
2.43144,0.0592241,103
2.62853,0.109567,103
2.84436,0.101253,95.6
6.1283,0.117488,91.4
5.10384,0.0846421,94.4
5.36303,0.0671262,98
5.31322,0.0677555,98.8
5.02574,0.0716312,99
4.90369,0.0880969,99
5.07803,0.0708937,97.4
5.20153,0.0415263,98.6
4.94651,0.0145557,97.2
5.14447,0.0139956,93.6
5.96527,0.0120699,95.6
6.0666,0.0474731,94.4
5.61319,0.0128269,92.2
5.68517,0,91
5.76198,-0.0124957,91
5.13079,-0.0701646,94
5.05744,-0.0427094,97.4
5.075,-0.0567487,98.4
5.29385,-0.0816042,98.4
5.55515,-0.0777657,101.6
5.48599,-0.170616,100.8
5.39212,0,98.6
6.73381,0,97.8
8.14041,-0.00884477,102.2
9.04014,-0.0318579,107
9.27119,-0.023298,110
9.50548,-0.0151492,113.2
9.71832,-0.0296347,116.6
10.1415,-0.0141991,120.2
10.1415,-0.0212987,124
9.23231,-0.0311948,126.8
8.75093,-0.0411385,130.6
9.08415,-0.0475554,132.6
9.70832,-0.0296653,134.4
8.0438,-0.044755,135.6
7.96166,-0.0452167,135.2
10.2228,-0.0493016,135
9.72958,-0.0592009,134.6
8.80984,-0.0735541,133
8.63489,-0.0750444,133
8.70016,-0.0496543,132.6
8.66832,-0.0498366,128.8
8.64943,-0.0499455,127.4
8.2395,0,123.8
8.08671,-0.035614,123.6
8.15335,-0.0264922,122.8
7.21558,-0.0399136,119.8
7.37305,-0.0390612,116.6
12.1935,-0.0826673,115.2
10.5938,-0.0815571,115.4
10.0247,-0.00718227,117.2
9.0043,0.0319847,117
8.80776,0.0572222,118
10.34,0.0348162,123.6
10.1951,0.0423734,124.4
12.8405,0.0280363,123.6
11.3064,0.0127362,126.6
9.01258,0.00798883,127.6
9.20573,0,128.6
7.19037,0,130.8
7.42457,0,131.6
7.23324,0,133.8
7.7938,0,132.6
7.23777,-0.0795825,130.6
5.76095,-0.0374938,130
5.84886,-0.0123101,133
7.1887,0.0600943,133.6
8.60838,0.0836394,130.6
8.15026,0.0618385,122
7.41395,0.106826,120.4
6.77853,0.0849742,119
4.67713,0.0461822,118.6
6.45469,0.0111547,139.8
9.10409,0.0316341,143.2
6.44753,0.100504,142
1.95714,0.110365,141.8
8.52803,0.109756,138.6
9.60209,0.104977,134.2
9.53555,0.10571,134
9.33156,0.115736,135
9.54165,0.113188,135.8
9.3902,0.122681,134.2
8.95915,0.128584,134.2
8.53367,0.126557,134
12.5458,0.126257,134.8
10.4111,0.138314,137.2
10.2163,0.133903,137
10.3239,0.132508,137.4
8.63255,0.141789,138.4
7.2611,0.148738,143.4
8.00906,0.134847,146.4
9.84749,0.131607,152.8
8.40004,0.145714,152.8
7.58365,0.132918,151.2
7.43642,0.145231,151.2
7.95588,0.135749,150.2
9.04425,0.119413,148.8
8.53056,0.101283,150.2
8.60995,0.0668993,153
9.26284,0.062184,156
9.10876,0.0553314,161.2
8.49134,0.0169585,167.4
7.81044,0.00921843,159.4
7.00126,-0.0308516,145.4
7.87974,-0.0274121,142.6
10.2313,-0.00703724,141.4
9.4026,-0.00765746,133.4
11.2966,-0.0063736,131.8
10.092,-0.00713435,130.2
12.6827,0.00567704,126.6
9.99547,0.00720326,123.2
7.85931,0,129.2
10.9018,0.00660439,132
9.90392,0.0145397,132
9.01748,0.015969,132
9.61385,0.0149784,132.8
10.1537,-0.00709099,135.6
11.9066,-0.0120941,138
9.78625,-0.0147145,139.8
8.64724,-0.00832636,140.4
7.92887,-0.00908074,140
9.83639,0,140.6
11.7761,0.0122282,142.8
10.5659,0.00681435,145.2
9.68385,0.00743506,148
9.94838,0.00723736,152.8
9.61974,-0.00748461,154.4
10.7692,-0.00668574,163.6
9.89143,-0.0218371,169
10.2702,-0.0280424,170.2
8.57972,-0.0335675,171.6
8.8874,-0.0486082,174.4
9.48596,-0.0531312,175.8
8.49411,-0.0508587,175.2
5.9046,-0.0609694,173.4
4.89409,-0.0441349,171.4
8.02184,-0.053853,171
8.81417,-0.049012,170.2
10.3128,-0.0698165,169
9.59184,-0.0300255,164.8
10.7546,-0.0334741,163
11.1298,-0.0323455,163.4
8.83923,-0.032582,167
8.54231,-0.0337145,169.8
9.08631,-0.015848,170.8
8.64031,-0.00833304,171.4
4.46543,0,170
2.98279,0,169.4
0.821929,0,169
0.949417,0,167.8
3.19749,0,166
3.92188,0.0183585,165
6.94061,0.0103737,164.4
9.58755,0.0225292,165
9.71011,0.0296598,165
8.79682,0.0491087,156.2
10.3518,0.0556426,125.4
11.541,0.0623865,121.8
10.4937,0.0686128,122.8
11.134,0.0517333,122.4
12.0889,0.0476472,122.2
10.6424,0.0405925,123
8.56818,0.0420159,125.2
7.89299,0.0364881,126
9.1996,0.0391321,125.6
10.4799,0.0412217,127.6
10.218,0.0281856,127
10.8808,0.0198515,127.6
10.9418,0.00658028,132
9.85617,0.00730507,134
8.97528,0.00802203,137.4
9.14603,0.00787227,141.2
8.69852,0.00827727,141.4
9.50815,0.0227174,138.4
10.3515,0.0486888,139.8
10.2261,0.0915307,142.6
9.58546,0.16525,144.4
9.79835,0.139615,145.4
9.84755,0,146.6
9.52549,0.0151173,151.4
7.38733,0.0389857,154
7.52021,0.0287226,150
6.638,0.0216933,144.2
7.78269,0.0092513,135
9.06022,0,134.4
