speed,elevationGradient,heartRate
3.05946,0.117668,76
3.54265,0.101619,76
3.41932,0.0842273,76.2
3.41431,0.0632632,75
3.69127,0.0975275,79
3.87193,0.0929769,82.4
3.92864,0.0916347,83
3.77859,0.0762188,82.4
3.79483,0.0569195,83
3.94963,0,83.8
4.02745,0.0178773,80.6
3.8333,0.0187828,77
3.41832,0.042126,77.6
3.45946,0.041625,85.2
3.85494,0.0186774,88.6
3.9291,0.0183248,88.4
4.02793,-0.0178752,88.4
4.13267,-0.0522665,88.2
4.39819,-0.0818518,89.8
4.31048,-0.133628,94.4
4.31354,-0.0667665,96.4
3.59104,-0.0801995,98
3.57827,-0.0804857,95.8
3.2025,-0.202342,94
3.92602,-0.0183392,93
4.42509,0,88.8
4.64344,0,86.6
4.59453,0,81.8
4.44317,-0.0162047,80.8
3.98034,-0.0180889,80.4
3.8463,-0.0187193,80
3.8277,-0.0376205,79.2
3.89771,-0.0184724,82
3.90018,-0.0184607,83
3.88422,-0.0185365,82.4
3.8759,-0.0185763,82
3.86758,-0.0372326,82
3.92859,-0.0183272,80.2
3.93663,-0.0182897,76.4
3.98559,-0.0361301,75
3.8802,0,76.2
4.10628,-0.0175341,77
4.46478,-0.0161262,75
4.24598,-0.0169572,74
3.8759,-0.0371527,75
3.60698,-0.0399226,76
3.6689,-0.0392489,78.8
3.82321,-0.0376647,78.6
4.18923,-0.0343739,79.4
4.55968,-0.0631624,80.4
4.50689,-0.0319511,83.2
4.09909,-0.0175649,85.8
3.97675,-0.0362105,84.2
4.16374,-0.0518764,84.8
4.65776,-0.0309162,88.4
4.48947,-0.0481126,83.2
4.82793,-0.0447396,81.6
4.89742,-0.0588064,83.2
4.68358,-0.0461186,82.2
4.10746,-0.0525872,83.8
3.62722,-0.0595498,81.4
3.67744,-0.0783153,77.8
3.81569,-0.0566084,75
4.26047,-0.0844978,75.6
5.01727,-0.0717522,80.4
4.48138,-0.0642659,84.2
3.84609,-0.0374407,86.4
3.68697,-0.0585848,86.6
3.67906,-0.0587107,83.4
3.52853,-0.0612154,82
3.42164,-0.0420851,80.8
3.46178,-0.0623956,78.8
3.55586,-0.0202483,73.6
3.64852,0,74
3.80547,0,78.8
3.7803,-0.0190461,82
3.59885,-0.0400127,84.8
3.36059,-0.0428496,86.8
3.24732,-0.0221721,85
3.85372,-0.0186832,85
3.21134,-0.0224205,84.6
3.46514,-0.0415567,81.2
3.80985,-0.0566951,80.2
4.13131,-0.0348558,83.6
4.1638,-0.0691676,86.6
4.19671,-0.0857814,82.6
4.01832,-0.107508,81.4
3.74733,-0.0768548,80.4
3.71961,-0.0774276,80.2
3.65432,-0.0788108,74.2
3.57441,-0.0201432,71.2
3.36611,0,72.6
2.98132,0.0241504,72.8
4.64418,0.0155033,71.8
4.16434,0.051869,73
3.97818,0.0542961,75.4
3.77541,0.0572124,79
3.57492,0.0604209,80.6
3.68696,0.0390566,81.4
4.02491,0.0357772,81
4.90212,0.0440626,79.6
3.74343,0.0384674,77.4
3.63897,0.0197858,77.8
5.17996,0.0277994,81
3.94412,0.03651,82.8
4.8208,0.0149353,82.2
4.31742,0.0166766,84.8
2.19509,0,85.6
0.175989,0,85
0.0959692,0,81.6
0.320079,0,80
2.18663,0,77.2
0.0800198,0,75.2
0.0529804,0,70.2
0.291941,0,72.6
0.837695,0,74.2
4.76754,0.0151021,75
6.50734,0,75.8
7.05088,0,76
7.95512,0,77.2
7.79229,0,80
6.92188,0,83
5.93569,0.13343,83.6
6.73611,0.106887,84.2
7.00649,0.0822094,85.8
8.23922,0.0873869,86
8.90578,0.0646771,87.6
7.75163,0.0650186,88.2
7.50452,0.0575653,89
8.89673,0.05665,89.8
9.90908,0.0653946,90.8
10.5017,0.0685603,92
10.4423,0.0551601,93.2
10.3503,0.0486944,94
9.99138,0.0432373,97.4
9.17189,0.0392504,103
8.51532,0.0507321,103
7.71366,0.0560046,104
8.18197,0.052799,104.8
8.17248,0.0616704,109.8
8.74917,0.0493761,114.4
9.97073,0.050548,115
10.2818,0.0490187,116.2
9.61703,0.0748672,118
7.27694,0.0791541,119.8
6.53525,-0.0110172,121.2
9.89583,-0.0218274,128
10.8249,-0.0266054,131.4
10.6652,-0.0270038,135
11.3673,-0.0253358,137.6
11.5475,-0.0685865,134.2
10.6813,-0.080889,129.6
9.72889,-0.103609,130
9.21279,-0.0937826,132
10.5108,-0.0411005,132
10.1436,0.0709809,136.6
8.36815,0.0946446,140.4
7.87291,0.0548717,143.4
7.90826,0.045522,144.6
8.71847,0.074325,147.4
9.44459,0.0609873,151.2
9.5993,0.082506,157.8
9.8043,0.117499,163
10.2438,0.140573,161.2
10.5849,0.0544171,162.8
10.0165,0.107822,164.2
8.84816,0.113922,164.6
9.91416,0.0363117,163.8
10.5119,0.0136987,158
8.44611,0.00852463,158
9.45373,0,164.8
8.82263,-0.00816083,170
8.5916,0,171.4
9.78819,0,173
8.45616,0.00851451,173.2
9.10509,0,173
8.779,0,172
10.8123,-0.00665905,172.6
11.9076,0,172
9.43658,-0.00762988,173
9.01315,-0.00798833,172.8
3.23009,-0.0222904,170.8
1.09324,0,159.6
5.93383,-0.0242676,137
7.17703,-0.020064,129.4
6.31634,-0.022798,128
5.99266,-0.0240294,128.8
8.28075,-0.0173897,127
8.90216,-0.0323517,128.4
8.22066,-0.00875842,139.6
8.39737,-0.0171482,142.2
7.97575,-0.00902737,148.2
6.36443,0,152
8.76848,0,155.8
10.1549,0.0070902,157.8
10.8315,0.0132946,157.2
11.8484,0.0182303,153.6
11.8277,0.0121748,160.8
8.3347,0,167.4
9.47108,-0.00760209,168.4
9.77834,-0.0147264,172.6
11.5581,-0.0249177,171.8
10.3025,-0.0279545,170
9.65865,-0.0149089,169.6
11.4008,-0.018946,169.8
10.3478,-0.0139161,170.4
10.0597,-0.0143146,169.6
7.50995,0.21092,167.6
7.7168,0.167945,167.8
8.16177,0.123503,170.2
8.18597,0.131933,170.4
8.13716,0.123876,169.4
8.26452,0.121967,168.6
7.57683,0.123535,168.4
7.40458,0.155579,166.8
6.69537,0.172059,166.8
5.83401,0.185121,166.8
5.61756,0.192254,167.6
6.33643,0.204531,169.2
6.96871,0.16531,168.4
7.15625,0.160978,167.2
7.68862,0.112374,167
8.66764,0.107988,167.8
8.73597,0.0906596,169.8
8.96572,0.0803059,172.2
8.99492,0.0800452,172.8
8.44388,0.0767419,172
8.48583,0.0678779,172
9.04975,0.0875163,172
9.232,0.0935875,172
9.00648,0.0799425,172.6
8.93567,0.0805759,174
9.12679,0.0631109,171.6
9.32715,0.0540358,171
8.71282,0.0661095,170
8.6081,0.0334569,169.6
8.8735,0.0324562,169
8.63703,0.0166724,168.4
10.1906,0,167.6
10.6235,-0.00677742,164.8
10.1096,-0.00712194,163.2
9.49307,-0.015169,162.2
8.61054,-0.0334474,155.6
7.92781,-0.0181639,148
8.17905,-0.017606,148
9.39383,-0.0229938,149
11.8048,0.0121984,149.2
8.10198,0.0177734,151
8.98375,0.0160289,152.4
8.57663,0,153
