speed,elevationGradient,heartRate
7.14404,0.0201567,84.2
9.10633,0.0237198,88.6
9.85261,0.0219231,100.6
9.63438,0.0298929,119.8
9.53966,0.0377372,125.6
9.68165,0.029747,127.6
9.76047,0.0221301,127.4
9.85609,0.0146103,128
9.74722,0.0295469,133
9.80435,0.0514058,136.6
10.0367,0.0502157,138
10.2116,0.0493555,140.8
10.2544,0.0351068,142
10.0456,0.0143347,144
9.81134,0.0220153,147.2
9.64527,0.0298592,154.6
9.58656,0.0225315,163.4
9.65186,0.0149194,173.4
9.70509,0,177
9.11903,0,176
9.95907,0,176
10.3929,-0.00692781,177
9.39855,0,176
9.48824,0.0303534,176.6
10.2721,0.0280372,178
9.89994,0.0363639,178
9.79513,0.0294024,177
9.84766,0.0365569,177.4
9.98179,0.0288525,179.2
10.0838,0.0357007,177.8
10.1106,0.0498485,178
10.1332,0.0426323,178.8
10.0346,0.0430511,179
9.87055,0.0364721,180
9.61666,0.0374351,181.6
9.4865,0.0455384,180.8
9.47805,0.0683685,180
9.75318,0.0590577,179.8
10.0129,0.0503352,179
10.4144,0.0414809,179.8
10.5323,0.0410168,180
10.6604,0.0472776,180
10.7598,0.0401496,180
11.9475,0.0361583,180
11.1647,0.0322446,180
11.2553,0,180
11.1273,-0.0064706,180
10.5216,-0.00684305,179.6
11.5924,0,180.4
12.4103,0,182.8
12.4385,0.011577,182
12.198,0.0059026,181
11.8387,0.0121635,182.6
11.7951,0.0122084,185.6
11.8405,0.0121617,186.2
11.6983,0.024619,186.8
11.2177,0.0577656,186
11.1435,0.0452281,185.4
11.2192,0.0385055,185.2
11.3146,0.0318174,183
10.8884,0.0330626,180.2
10.509,0.027405,179.2
11.1662,0.0386883,179
11.5399,0.031196,179
10.9514,0.026298,179.6
10.6035,0.0203707,180.2
10.9143,0.0263873,181
11.1544,0.0193645,182
11.2328,0.00640978,181.2
11.4163,0.00630676,181.2
11.7266,-0.00613987,182.6
12.0203,-0.0119797,184.4
11.7832,-0.0122207,183
11.6558,-0.030886,182.8
11.8605,-0.030353,182.4
11.7932,-0.0671573,182.8
11.2043,-0.0706874,179.6
11.0417,-0.0586866,176.6
11.0148,-0.0784402,177
10.8453,-0.0663885,177.8
10.5039,-0.0822555,179
10.5474,-0.0546108,179
