speed,elevationGradient,heartRate
4.47526,0.0160885,90
2.3874,0,90
3.97735,0.0181025,90
4.71872,0,90
4.84069,-0.0148739,90
5.23944,0,90
4.84173,-0.0148707,90
4.23877,0,90
4.11812,-0.0174837,90
4.44211,0,90
5.19796,-0.0138516,90
5.65963,-0.0127217,90
5.03197,0,90
4.36522,-0.016494,90
5.1962,-0.0138563,90
4.93012,-0.0146041,90
4.7652,-0.0453286,90
4.54394,0.0158453,90
4.49194,0.0160287,90
4.74474,0.0303494,90
5.44026,0.0132347,87.2
5.36424,0.0268444,86.6
4.78167,0.0150575,86
4.91978,0.0292696,84.2
4.7962,0.0150119,83
5.56074,0.0129479,82.4
5.44131,0.0132321,83
5.03441,0.0143016,83
5.61726,0,77.2
5.42024,0.0132836,76
4.85946,0.0296329,78.4
4.74453,0.0303507,84.4
4.98597,0.028881,85.8
5.28942,0.0272242,84
5.38558,0.0267381,82
5.42474,0.026545,80.4
5.29816,0.0271792,79.4
5.28558,0.013622,79
5.19469,0.0277206,81.2
4.97704,0.0144664,80.4
4.29692,0.0335123,79.6
3.76616,0.0191176,76.4
5.00993,0,74
5.24155,0.0137364,73.6
5.16498,0.01394,76.8
4.93939,0.0145767,78.4
2.25933,0,78.4
0,0,77.2
0.256274,0,79.8
0.256274,0,85.2
3.66016,-0.0196713,88.4
8.21991,-0.00875922,90
8.81019,0.00817236,95.8
9.89046,0.0218392,99.2
10.6514,0.0135194,105
9.70942,0,106.8
9.2985,-0.0154864,109.2
9.28393,-0.023266,111
8.72497,-0.0330087,111
9.10684,-0.0237184,111.2
4.99932,-0.0288039,114
2.50759,-0.0287129,111.2
7.78511,-0.0184969,107
9.02907,-0.00797424,106
10.1033,-0.00712636,108.6
11.2172,-0.0064187,116.2
10.8401,-0.00664202,122.4
9.34967,-0.00770081,125.2
9.20492,-0.00782191,129.2
10.9992,0,132.8
11.1507,0.00645697,135
9.58521,0,135.4
10.2176,0.0140933,137.8
10.171,0.0212369,145.2
9.47013,0.00760285,151.2
9.26605,0.0077703,158.8
9.90151,0,163.4
10.4401,-0.0137929,169
8.26496,-0.0261344,171.6
5.59899,-0.0128595,176.6
6.8947,0.0208856,176.8
8.3629,0.0172189,174.8
8.3783,0.0171872,172.2
8.70205,0.00827391,171.4
9.85952,0.0146052,177.2
10.0945,0.0213977,179
10.2452,0.00702765,179.8
10.243,0,182
9.1871,0,183.2
7.83992,0,183.4
10.2927,0,182.4
7.74003,0,185.4
8.32362,0.00865008,187.4
9.93395,0,189.8
8.82417,0.00815941,189.2
7.16136,0.0301619,188.4
9.99365,0.0432274,187.2
9.9236,0.0725543,187
9.12979,0.0709764,187.6
12.116,0.112909,191
9.41801,0.099384,194.8
8.76414,0.0739376,196.6
6.79897,0.0741289,197.4
7.78916,0.0184872,194.8
8.1603,-0.0176464,185.6
9.31919,-0.023178,171.8
8.24116,-0.0349465,171.6
8.91069,-0.0404009,172.8
9.10309,-0.0632752,176
7.90752,-0.036421,178
9.21766,-0.0312444,177.4
9.6999,-0.029691,177.8
8.835,-0.0244482,175.8
10.9841,-0.0262198,174
8.63479,-0.0250151,173.4
6.62851,-0.0217243,171.6
8.4571,-0.0170271,167.2
8.16683,-0.0264484,164
8.47057,-0.0255,162.6
9.27604,-0.0232858,160.4
7.69254,-0.0280791,160.6
8.8219,-0.032646,158.8
11.3425,-0.0253913,157.2
9.23965,-0.0233775,158.6
8.22479,-0.0262621,165.4
6.18002,-0.0233009,171
7.80263,0,173
8.48376,0,175.4
9.78418,0,176
10.4881,0,176.6
8.72815,0.00824917,177
7.0478,0,173.4
3.31069,0,174
4.38925,0,174
7.84965,-0.00917238,174.4
8.01526,-0.0179657,178.2
8.85012,-0.00813548,179.8
8.76882,0,179.2
11.0336,0.00652552,177.2
10.352,0.0139104,175.2
10.0404,0.0143421,175
6.89242,0.0104463,175
1.57374,0.0457508,172.8
0.737314,0,169.8
5.8525,0.0123024,166.6
8.83341,0.00815087,165
7.58703,0.00948988,168.2
6.12581,0.0117536,174.6
2.79925,0,175
7.00862,-0.0102731,175
9.78335,0,175
11.0565,0,175
11.0477,0,175
9.32658,0.00771987,177.4
5.44268,0.0264575,182
4.87372,0.0295462,183.4
8.35818,0.0258429,187
12.5559,0.0229375,188.2
11.764,0.0244815,189
10.8272,0.0332497,188.6
10.5341,0.0273399,187.6
10.2712,0.0210297,186.4
9.86752,0.0291867,183.2
9.14358,0.0236231,181.6
6.63678,0,180.4
8.14145,0,178
9.41989,0.038217,178.8
8.49451,0.0508564,179
5.89726,0.0610453,178.6
8.8081,0.081743,179
5.61364,0.115433,179.8
1.6768,0,172.4
7.90508,0.0455404,168.4
8.31401,0.0779408,166.2
9.54863,0.165888,162.4
9.7159,0.266779,160.8
7.17872,0.160474,160
0.89567,0,158
3.36099,0.128534,152.6
6.3098,-0.251038,148
5.64738,0.0637464,147.2
6.05235,0.190339,146.8
9.52769,0.188923,148.4
9.65617,0.0820201,151.4
8.82508,0.0326342,154.8
10.5985,0,160.6
8.80061,-0.0163625,170.2
9.9889,-0.014416,173.2
8.72129,-0.0165113,174.6
5.23432,-0.0412661,176.6
7.26068,-0.0297493,178.8
7.1547,-0.0301899,180.6
4.27889,-0.0336536,184.4
0.328949,0,183.8
0,0,179.8
0,0,176.8
