speed,elevationGradient,heartRate
3.80886,0.0118146,123
9.66947,0,123
9.78895,0,126
10.1397,0,127.8
11.015,0,130.2
11.5945,0.00620982,134.6
11.6335,0,137.4
11.2453,0.00640266,137.8
10.8066,0,137.6
10.8357,-0.00664472,141
11.2116,-0.0256877,141
11.8191,-0.0243674,141
12.1407,-0.0118609,139.8
11.6445,-0.00618319,139.2
9.56743,0,139.6
10.4184,-0.124396,140.8
12.0386,-0.0657883,142.8
11.6635,-0.0493847,146.8
12.3551,-0.0466205,148.2
13.5983,-0.0582425,150.2
11.9991,-0.0480036,151.2
11.361,-0.0506998,151
14.416,-0.0499443,146.2
12.3303,-0.0467141,145
13.5432,-0.0531633,142
11.7509,-0.0490176,139.8
9.54131,-0.0603691,138
12.2286,-0.0412148,136.8
13.243,-0.0543683,137
12.1346,-0.0415341,136.8
11.4095,-0.0378632,134.2
10.6867,-0.0336866,136.2
12.9636,-0.02777,137.8
13.999,-0.0308594,139.2
13.2028,-0.0218136,137
12.1865,-0.0118164,135.2
11.3189,-0.00636106,136
11.4824,-0.00627046,136.8
11.1766,0.0128841,139.8
10.4197,0.01382,141.6
9.21465,0.0156273,140.8
9.24395,0.0155777,140
9.28127,0.0155151,138.2
8.53932,0.00843158,139.4
8.14812,0.0353456,142.4
11.9357,0.0542907,142.2
9.37801,0.107486,141
8.74909,0.131671,143
6.36741,0.395766,146
6.88544,0.0313705,148.4
9.8773,0.0291578,148.4
12.1138,0.0356618,144.6
11.6042,0.0310233,145.4
12.2725,0.0352008,150.6
11.9557,0.0421556,149.4
11.4782,0,149
12.1718,0.0177459,149.8
11.403,0.0126283,150.2
10.2678,-0.0701221,150.6
10.9593,-0.0459882,149.8
12.6867,-0.0510772,149.4
13.0938,-0.076983,149.8
12.3987,-0.0754917,150
12.7985,-0.0675078,148
13.8052,-0.0730161,147.2
13.3126,0.00540842,140
12.8153,-0.00561828,138.2
14.1845,-0.0101519,139.6
13.7907,-0.00522092,143
13.5349,0,145.4
12.8134,0,146.2
12.9198,0.00557283,146.8
13.2076,0.0054514,145.8
13.128,0.0164534,147.4
12.2489,0.0117562,144.4
12.0121,0.00599396,143.8
12.0233,0.00598837,143
12.9053,-0.00557911,143.4
12.9148,-0.05575,144
14.9588,-0.0866379,143.2
14.7549,-0.0829557,140.6
13.786,-0.0731178,138
13.4352,-0.0643087,135.6
13.7035,-0.15237,135
14.4515,-0.124554,134.8
13.3153,-0.0919242,131.8
12.5375,-0.0976273,131
11.8205,0.091367,131
15.9387,0.0858291,130
9.3435,-0.0231177,129.2
7.33928,-0.0981023,130
7.68528,-0.0843171,131.8
8.18272,-0.0967893,130.6
8.23687,-0.122377,126.6
8.23825,-0.166055,134.8
8.86662,-0.219249,138
10.027,-0.215419,127.4
10.9595,-0.19052,122.2
10.9167,-0.191266,120.2
10.942,-0.269787,125.8
6.21777,-0.150536,128
0.715528,-0.100625,125.8
0.376647,-0.19116,122.2
0.250944,0,119.8
1.05375,-0.204982,115.4
3.2087,-0.157073,111.6
5.32589,-0.162227,109.2
8.54086,-0.219182,110.4
6.35551,-0.260561,112.6
3.42715,-0.252104,109.8
1.48078,-0.291737,106.6
0.736887,-0.293125,105.2
1.16251,-0.309675,102.2
2.17122,-0.33161,96.2
4.33982,-0.28204,97
5.54251,-0.129905,99.4
11.3928,0.0442384,101.4
11.4211,0.0882574,107.4
12.1453,0.0474259,119.4
14.1257,0.203883,121.2
15.6564,0.0321914,122.4
17.5023,0.0658201,124.4
13.382,0.0645646,125.2
13.7249,0,128
8.12723,0.0177182,132.4
12.6689,0.0340991,136.8
13.9151,0.0517422,141
15.8732,0.0498955,147.8
16.1393,0.0446115,149.6
12.893,0.0614285,146.8
11.9957,0.0660235,148.4
13.0428,0.0717639,150.8
12.5069,0.0518115,150.6
12.494,0.0403392,151.6
13.1403,0.0383553,151.2
12.3297,0.0350373,152.8
12.613,0.0570842,155
13.6985,0.0683286,157.8
11.7657,0.0611948,159
10.4951,0.0617429,159.8
9.80706,0.0587332,158.2
9.7833,0.0441569,158.4
11.8312,0.0425991,161.8
11.133,0.0517381,157.4
9.16617,0.0785497,155.8
11.4973,0.0688856,156.8
11.6011,0.0620631,157.8
11.4915,0.0626548,158.6
12.2102,0.0707605,157.2
12.373,0.0931059,157.2
11.5983,0.068286,156.6
10.2529,0.0912917,157
9.04545,0.0875578,156
9.96827,0.0938979,155.2
10.1593,0.106306,155.8
7.15215,-0.0100669,157.4
3.95043,0.0182258,158
4.88357,0.0442299,158
3.30894,0.0652776,156
3.36682,0.0855407,155.4
4.53762,0.0952041,155
5.41364,0.106398,153.8
5.32948,0.0945682,153.4
4.37075,0.0823658,153.4
4.02967,0.0714699,153.8
4.56458,0.0473209,152.6
4.44398,0.0486051,156.2
4.39295,0.0163899,158
9.71977,0,158
15.3834,-0.00936071,157.6
14.8076,-0.00486236,161.8
14.4876,-0.0099395,164
14.5767,-0.0197575,167.6
14.5241,-0.0347009,176.2
14.7837,-0.0438321,181.4
14.7771,-0.0438518,183.8
14.1317,-0.0611391,185.4
13.605,-0.0687981,186.8
13.4493,-0.0267673,185.6
13.8158,-0.0156343,186
14.3205,-0.0351942,186
14.1527,-0.0356116,186.4
13.5876,-0.0423917,187
13.0807,0.0220171,186.8
13.1018,-0.0384679,187.4
13.9011,-0.0310767,189.2
13.9125,0,190.2
13.3048,-0.0324694,189
13.7696,-0.0522891,188.8
14.7165,-0.0244624,188
14.2658,-0.0100941,188
13.5247,-0.0532359,188
13.5035,-0.0586515,188
14.4911,-0.0496857,188
13.9077,-0.0724778,189
14.1966,-0.0760745,190
12.7877,-0.146391,190
13.7975,-0.0730567,190
14.617,-0.0591091,189
14.2962,-0.050363,188
14.1651,-0.0254146,188
14.0659,0.0511877,186.8
12.6114,0.051382,185.6
13.3193,0.0324341,183.8
13.3002,0.00541346,183.8
12.2916,0.00585765,184
9.97397,0,182.4
12.7131,-0.0113269,179.2
14.6678,-0.0589046,177
14.2497,-0.0656856,177
9.06286,-0.0317781,176.4
9.88206,-0.00728593,175.8
14.6491,0.0196599,176
13.8244,0.0520819,176
14.246,0.0657026,176
18.2307,0.00789877,176.8
17.5497,-0.0369236,178.8
12.2183,-0.0471424,178.8
10.0697,-0.0500513,175.4
9.6291,-0.0747733,163
10.2208,-0.105667,156.4
10.5758,-0.142968,155.2
10.9819,-0.163906,156
9.85773,-0.211814,149.8
10.2585,-0.224594,141.4
12.0946,-0.220263,135.6
8.98779,-0.232315,136.4
10.4935,-0.267593,136
12.5417,-0.160744,136
11.268,-0.159745,134.8
9.84102,-0.197541,127.2
9.61735,-0.269513,128.6
11.4999,-0.288004,131.4
13.1746,0.0710456,138
16.0924,0.0850092,140.2
15.24,0.00944883,147
14.3218,0.0150819,148
13.7443,0.0157156,149.4
14.484,-0.00994199,150
14.2599,-0.095933,150.2
12.9412,-0.0778909,151
14.7252,-0.0635646,151.8
14.2421,-0.0657205,153
14.1342,-0.0560341,156
13.7935,-0.036539,156
13.6716,-0.026332,154.8
13.7014,-0.0420396,152.8
14.2208,-0.0455671,152
14.4112,-0.0549572,150.6
13.9127,-0.0517511,150.6
13.2772,-0.00542283,152
13.6936,0.0105159,152
17.3635,0.0165865,153
12.942,0.0166898,152
13.3565,0.016172,152
13.9055,0,151.2
13.7683,-0.0104588,150
13.3051,-0.0108229,150
12.8551,-0.00560088,152.6
12.7933,0,153.6
13.397,0.0161231,153
14.2798,0.0151262,153
14.3521,0.01505,155
14.012,0.0102769,156
13.6643,0.0105384,159
13.0512,0.0165502,160
12.6375,0.0455786,162.8
12.6128,0.0513763,164.2
12.8416,0.028034,163.8
12.7337,0.0226171,163.8
13.2156,0.0108962,163.8
13.2865,0.00541903,162
14.1136,0.00510148,159.4
14.5295,0,159
14.2099,-0.00506687,158.6
13.9887,-0.00514703,158
13.8874,-0.00518454,157
13.7843,-0.00522335,157.4
13.5409,-0.00531722,157.4
13.3331,-0.00540009,157
13.3279,0,158
13.3656,0,156.6
13.4658,0,157.6
13.3245,-0.00540357,158.8
13.3582,0,157.8
13.7687,0,155.2
13.6911,-0.00525889,155
13.6529,0,155.4
14.0607,-0.00512067,157.6
14.1685,-0.0101634,159
13.8341,-0.0260226,162.2
13.3614,-0.0431093,162.4
13.3157,-0.0919218,160.8
13.896,-0.0621761,159.4
14.128,0,159.2
13.3291,0.0054017,159.6
13.8336,-0.00520473,160.2
14.2903,-0.0100768,159.8
13.482,-0.0160214,158.8
13.5382,-0.0212732,152.2
13.8294,-0.0104126,151.6
13.9339,-0.00516725,150
13.7366,-0.010483,150.2
13.7833,-0.00522372,151.4
13.8726,-0.00519009,152.4
14.074,0,154.2
14.2395,0.00505636,156.8
14.4444,-0.00498463,156
14.4099,-0.0149897,156.8
14.3125,-0.0251528,159.6
14.1315,-0.035665,158
13.5783,-0.0371182,153.8
13.5431,-0.0265818,149.6
13.6758,-0.0263239,148.8
13.7795,-0.0156754,148.4
13.7503,-0.0157088,149
13.8602,-0.0207789,149.6
13.8475,-0.010399,152.2
13.89,0.0103671,154.8
13.8462,0.0207999,156.8
13.8196,-0.01042,155.6
13.7314,-0.0262172,156.2
13.6407,0.0105566,158
13.5673,0,161.6
13.6894,-0.0105191,170
13.6121,0,174.8
12.8207,0.00561591,173.2
13.9229,0.0103427,171
11.6717,0.0123375,172
7.62708,0.0188801,176.2
15.9562,0.00902472,181
15.0934,0,186.2
11.4767,0.119198,187
8.2835,0.165148,187
8.22779,0.166266,187
8.77629,0.180486,186.2
7.22824,0,184.2
9.23512,0.0311853,183
11.98,-0.02404,182.2
8.26252,-0.0174281,179.8
12.5842,0.00572147,176.6
12.4872,0.0172977,174.8
12.9465,0.0278066,171.6
13.1461,0.0273846,170.2
13.4315,0.0482447,170.4
