speed,elevationGradient,heartRate
3.54974,0.101416,91
3.63398,0.138691,91
2.81375,0.153532,91
2.72572,0.10566,91
3.65724,0.098435,91
4.18236,0.0860759,91
4.71259,0.0763911,91
4.2192,0.102389,91
3.56761,0.100908,91
3.78289,0.0951652,91
4.10706,0.0525924,91
4.28803,0,91
4.21858,0.0170673,91
3.98371,0.0180736,91
4.11756,0.0524582,91
4.36611,0.0329813,91
4.08869,0.0176095,91
3.70208,-0.0194485,91
3.70208,-0.0388971,91
4.25432,-0.067696,91
4.30608,-0.200646,91
4.73485,-0.076032,91.4
4.83712,-0.0744244,93
4.65411,-0.139232,93.6
5.51112,-0.0130645,93.6
2.72616,0,92.2
0.708415,0,90.4
0.254911,0,90
0.0529806,0,90
0.0529806,0,89.4
0,0,77
1.16557,0,67.8
0.370864,0,68.2
0.360872,0,70.2
0.201931,0,75.6
1.40467,0,81.2
4.33156,0,84.4
5.06406,-0.0142178,86
8.85885,-0.0162549,84.4
10.0351,-0.0215245,86.6
10.1882,-0.0212011,90.6
10.9403,-0.0263248,98.4
10.6864,-0.013475,100
10.1942,-0.0211886,101
9.98291,-0.0360616,104
10.098,-0.0427805,107.2
10.1139,-0.0355947,109
10.0884,-0.0356845,116.8
9.91221,-0.0435826,117
9.75942,-0.0516424,118.4
9.78624,-0.0515009,118.6
10.1428,-0.0638878,118
10.4232,-0.075984,117.2
9.78979,-0.0588368,118.2
9.21556,-0.0468772,121.8
9.03659,-0.0478056,121
8.78652,-0.00819437,118
7.90771,-0.0364202,115.8
8.56838,-0.025209,112.6
8.17022,-0.03525,112
8.50714,-0.0507809,112.6
8.494,-0.101719,113
8.32239,-0.0778622,113.4
9.22004,-0.0312363,113
9.65919,0.0223621,113
10.5782,0.0612582,112.4
13.7197,0.0367355,112.2
10.7026,0.0336367,113
9.71104,0.029657,113.4
10.0654,0.0143064,113
8.65812,0.00831589,111.4
8.14148,0,111
7.95167,0,112
7.52954,0,112.6
7.20973,0,113.2
6.72824,0,114
6.55045,-0.0439664,117.6
6.17405,-0.0583085,122.6
5.38245,-0.0401304,126.2
5.22813,0,133
6.06903,0.0593176,137.4
9.55665,0.0828743,143.6
6.2201,0.0694522,146.2
6.2201,0.0463015,149.6
7.83922,-0.0275538,160
7.5279,-0.0286932,163
7.35734,-0.0195723,165.4
5.79738,-0.0248388,170.8
4.14331,-0.0173774,172
7.17854,0.0100299,171.2
8.8332,0.0326043,172.8
8.90786,0.0484965,175
8.30906,0.0779872,177.2
9.62161,0.0673484,176.2
9.57473,-0.037599,178.2
9.98105,0.0288547,180
9.82449,0.0732862,178.6
10.5051,0.116515,177.6
10.1085,0.10684,178.8
9.20149,0.109547,179.4
9.36811,0.115285,177
9.70022,0.11876,176.6
9.29207,0.123977,174.8
8.80107,0.130893,172.2
8.49001,0.135689,171
8.96418,0.128511,171.8
8.34408,0.146691,173
8.64049,0.141659,173.8
9.08733,0.134693,176
9.17631,0.141233,174.4
8.72896,0.148471,175
8.12119,0.159583,175
8.88081,0.129718,175
8.91709,0.145339,174.6
8.55705,0.14304,174.6
8.09954,0.15112,175
8.62098,0.141979,176
9.54596,0.128222,176.4
10.191,0.0989105,173.4
10.496,0.0685977,172
10.6409,0.0608973,169
9.98249,0.0288505,169.4
9.29825,0,176
9.85796,-0.029215,174.2
10.6237,-0.0135546,172.2
11.0319,-0.00652655,172.8
10.6067,-0.00678815,172.6
10.1852,-0.00706906,173
10.2205,0.00704467,177.2
9.66039,0.00745311,179.8
9.45547,0,180
10.0096,0.00719311,177
8.82223,0.0081612,174.4
9.16978,0.0157038,173
10.3808,0.0138718,174.8
10.8258,0,177
10.1573,-0.00708853,176.4
9.87929,-0.0145759,177.8
9.49475,-0.0151663,177.8
9.70404,0,175
10.4423,-0.00689504,174.6
10.1994,0.00705923,174.4
11.4968,0.0125252,177
10.4846,0.00686723,178
