speed,elevationGradient,heartRate
0.473673,0.152004,81
1.61309,0.133905,85.4
2.29406,0.125542,87.4
2.33017,0.123596,89
2.20983,0.097745,92
4.71848,0.0915549,96.8
5.31169,0.13555,99.4
5.19819,0.0969567,98.8
5.06803,0.0710336,96.2
5.2535,0.0685258,94.8
5.60356,0.0899428,95.4
5.78605,0.087106,90.6
5.39354,0.0667465,92
5.64523,0.0255083,89.2
5.69432,0,87
5.0461,0.0285369,85.6
4.73196,0.045647,85.6
4.86233,0.0296154,87.2
5.23565,0.0137519,90
5.43364,-0.0132508,90.8
5.57842,-0.0516275,91.8
5.68926,-0.0632771,94
4.31677,0.100075,91.2
6.09454,0.118139,88.8
6.02567,0.095591,92
5.93524,0.0727856,93.6
5.41183,0.066521,85.2
5.0284,0.0715933,83.2
5.36246,0.0671333,87
5.15158,0.0698815,84.8
5.43562,0.0662298,76
5.39977,0.0666695,78.4
5.13339,0.0280516,83
5.06244,0.0426671,83
5.28024,0.0272715,82.2
5.12603,0.0280919,82
5.12471,0.0421488,84
4.6535,0.0309445,84.6
6.24373,0.0115316,86.8
6.00616,0.0239754,87
5.84628,0.024631,86
5.84144,0.0246514,83.4
5.37027,0.0268143,82
5.78727,0.0248822,85
6.83743,0.0421211,89
5.60766,0.0385188,89.2
5.90341,0.0365891,90.4
5.78679,0.0373264,85.6
5.2411,0.0412127,80.2
4.95559,0.0290581,81.8
5.289,0.0408395,86.2
5.15385,0.0419104,92.8
5.25516,0.0411025,97.8
5.62849,0.0255841,98.4
5.91206,0.0121785,97
5.78823,0.0248781,98.2
5.68391,0.0253347,99.2
5.69858,0.0379042,103.6
5.94164,0.0363536,104.8
5.68882,0.0379692,104.4
5.36537,0.0402582,106.8
5.36518,0.0402596,107
5.61491,0.051292,107
5.76384,0.0499667,106.4
5.44394,0.0396771,105.2
5.05258,0.0427504,105.6
5.47383,0.052614,114.6
6.05356,0.0237876,112.2
5.62656,0,110.8
5.25706,0,109.6
5.76628,0.0124864,108.4
7.36482,0,107.2
8.34197,0.0172621,112.2
8.9937,0.0320224,123.4
10.5774,0.0272278,127.4
10.6807,0.0337058,132.8
10.625,0.0338824,145
11.4933,0.0250581,148.6
9.40336,-0.0382842,152
8.92401,-0.0403406,154.8
9.25178,-0.0466937,154.2
9.57071,-0.0451377,155.4
9.66458,-0.0446993,157.6
9.64939,-0.0447697,161.2
9.48145,-0.0683439,164.6
9.17713,-0.0627647,174.8
8.49352,-0.0678164,176
8.9873,-0.0721017,172.4
9.65083,-0.059684,174.2
9.38074,-0.0614024,174
10.6962,-0.0538511,173.4
10.5831,-0.0476229,171.6
10.3346,-0.0557353,171
10.4428,-0.0551574,170.8
9.74661,-0.0590975,170.2
9.37138,-0.0537807,170.2
9.52566,-0.0755853,173.4
8.36842,-0.0516226,174
7.7691,-0.0370699,174.6
9.63586,-0.0149442,173.8
11.6667,-0.0061714,171.8
8.5465,0.016849,171.4
11.0278,0.0195868,174
7.88541,0.0365232,175.8
5.17096,0.0974673,176.6
7.6409,0.103653,175.6
7.77162,0.129703,174.4
7.84466,0.174386,172.6
7.52842,0.181711,170.2
7.98617,0.126218,170.6
8.91151,0.129271,170.8
9.08949,0.134661,169
8.35864,0.120594,169
7.92376,0.118126,169.4
7.89861,0.154964,170.6
6.84204,0.168371,169.4
5.86428,0.184166,169
5.81308,0.198174,169
6.34627,0.204214,164.6
6.89607,0.167052,166
7.29398,0.157938,170.4
7.93236,0.117998,171.8
8.25651,0.104645,170
8.04521,0.0894942,169.4
8.82111,0.0816224,167.2
8.96997,0.0802679,165.8
8.98504,0.0721199,166
9.30121,0.0774092,169
7.9198,0.0909114,170
8.60488,0.0920408,170.8
8.69946,0.0827638,171.6
9.11286,0.0711083,172.6
9.53438,0.0679646,173.2
9.18831,0.0626884,175
7.27681,0.0395778,174.2
8.59134,-0.00838053,169.4
9.21498,-0.0156267,170
8.98591,-0.0160251,173
7.15109,0.0604104,172.6
8.68556,0.0331585,172.2
8.99453,0.0640389,172.6
8.65203,0.14147,172
8.35499,0.155117,171.2
9.69524,0,171
9.51386,0.0075679,168.4
9.63984,0.044814,163
10.0805,0.02857,162
9.81325,0.0293481,170.4
9.35107,0.0384983,175.2
9.33138,0.0462954,175.6
9.61969,0.0374232,173.6
9.94789,-0.0217132,173.2
8.2697,0.017413,174.4
5.39389,-0.0400453,174.6
4.07572,0.0529968,173
4.2466,0.0339095,173
5.57314,0.0129191,173.6
8.85828,0.04064,170.4
9.50591,-0.00757423,170.6
5.25045,-0.0685655,171.8
10.4368,-0.0689867,173
9.97095,-0.0649888,174.2
10.202,-0.0635172,174
9.61615,-0.00748741,168
10.8199,0.00665443,170.4
10.3101,0.0838012,171
9.16022,0.0550205,170.8
9.22451,0.0624424,172
9.65962,0.052176,175.6
10.9966,0.0523799,174
10.2202,0.0422692,175.2
10.8548,0.046431,175.4
9.86383,0.036497,173.8
9.0155,0.0159725,172
10.3173,0.0348928,171
6.63313,0.0434184,172.2
3.24204,0.111041,167.6
0.529122,-0.272149,165.2
0.133012,-0.541303,138.4
0.0529926,-1.35868,116
0,0,112.2
0,0,111
0.0800198,-0.899778,108.6
0.0800198,0,99.6
0,0,91.4
0,0,86.6
0,0,83.8
0.0800198,-0.899778,83.2
0,0,84.8
0.273957,0.788446,81.2
3.86376,0.0559042,75.8
5.39174,0.0801225,72
5.60832,0.128381,71
10.3442,0.132249,70.4
11.6412,0.148438,70
10.24,0.133594,71.2
7.3426,0.156893,72
5.91096,0.121808,72.4
5.20267,0.124551,73.2
5.74054,0.175593,74
6.52488,0.176555,75
6.91868,0.114473,76
8.00574,0.170877,77.2
8.20983,0.13155,79
6.57915,0.164155,80
6.06973,0.16607,80.8
5.89742,0.0122087,81
2.68332,0.0268324,82.4
0.334979,0,87.6
1.69581,0,108.8
6.52526,0.0220681,112
8.98157,0.0160328,115.4
10.5573,0.0204598,120
10.5659,0.00681438,125.6
9.25576,0.00777894,128.8
9.59905,0.00750074,133.4
10.7831,-0.00667712,138.8
9.14999,-0.0236066,143
10.201,-0.0846978,148
9.57485,-0.075197,152.6
13.1626,-0.153161,157
11.2255,-0.0962094,162.6
9.89928,-0.0872791,166
9.59739,-0.0750204,168.2
10.2411,-0.0632745,171.8
10.382,-0.0624158,177.8
9.24464,-0.0545181,178
9.23895,-0.0545517,178
9.17977,-0.0549034,178.4
3.17302,-0.0453826,175.2
5.98105,-0.024076,169
6.45098,-0.0334833,159.4
1.55745,-0.0462294,152.4
1.02956,-0.0699329,149.2
2.34927,-0.0306479,145.6
3.84448,0.0561844,141.2
3.84224,0.0749563,136.6
3.9793,0.0542809,133
7.0273,0.081966,131.6
10.0939,0.0570639,134.4
10.9622,0.0591124,138.6
11.947,0.0602664,142.8
10.842,0.0664085,149.8
10.6625,0.0810315,157.6
11.4904,0.100258,165.8
9.79488,0.220523,171
5.82885,0.0617617,172
3.65479,0.0788008,170.8
0.805785,0,168
0.271973,0,164.6
0.0800198,0,147.8
0.105988,0.679322,127.2
0.528461,0,123.4
8.63996,0.0583336,121.6
9.75475,0.0442861,119.2
9.4135,-0.00764859,120.8
9.84727,0,122.6
9.61771,0,124.2
10.0197,-0.0143717,132.2
9.54366,-0.0150886,139.8
9.60183,-0.0224957,143
11.3096,-0.025465,145.2
10.7381,-0.0335254,146
10.1963,-0.0353069,145.6
9.46865,-0.0456242,147.8
8.58498,-0.0419337,151
