label:'regular'
speed,elevationGradient,heartRate
3.23808,0.0889415,81.8
3.98474,0.126483,80
4.7394,0.136726,80.4
2.13274,0.101278,83
3.02091,0.0953356,81
3.78129,0.0761644,81
4.15269,0.0693527,81
4.20084,0.0856972,80
4.36286,0.0990177,82.4
4.72557,0.0914175,86.8
4.90066,0.0440757,83.8
4.80503,0.0149843,87
4.37533,0.0164559,88
3.94002,0.018274,87.6
4.59696,0.0469875,85.4
5.97453,0.0241023,83.2
6.18399,0,80.4
5.38382,-0.0267468,80.4
5.27561,-0.0682386,83
4.99542,-0.0432397,87.2
5.1058,-0.112813,91.2
5.20613,-0.082979,91.8
5.78611,-0.0746616,87
6.06585,-0.0949579,86.2
6.54878,0,87.6
5.43181,0,87
4.74275,-0.0151811,85.8
4.78919,-0.0150339,83.8
5.14223,-0.0420051,82
5.04393,-0.0142746,80
4.63094,-0.0155476,79.4
4.59808,-0.0313174,77.4
5.05601,-0.0142405,72.8
5.36592,-0.026836,73
5.34913,-0.0269202,74
5.82833,-0.0123535,74.8
6.15339,-0.0117009,74
5.30424,-0.0271481,72.4
4.93689,-0.0291682,69
5.22549,-0.0275572,72.6
5.32214,-0.0405852,71
5.31912,-0.0406082,71.8
5.2013,-0.0553708,74.2
5.21649,-0.0276048,76.2
5.25343,-0.0274107,78
5.16431,-0.0418256,77
5.0869,-0.042462,86
4.79499,-0.045047,86.6
4.40448,-0.049041,81.2
4.58388,-0.0471217,77.2
5.33496,-0.0539835,77
5.80157,-0.0496417,76.2
5.90763,-0.0731257,76.2
6.11307,-0.0706682,69.8
5.79464,-0.0745516,67.4
5.12939,-0.0561471,69
4.82606,-0.0596761,70
5.27174,-0.0546309,71
5.37354,-0.053596,71
5.3103,-0.0542343,71.2
5.14627,-0.0279815,72.8
4.53424,0,72.2
3.76359,-0.0191307,73.6
3.78756,-0.0380192,76.4
3.61911,-0.0397887,85
3.76941,-0.0191011,89
3.95283,-0.0364296,89.2
4.23406,-0.0340099,87.8
5.24277,-0.0411996,90.8
5.94053,-0.0484805,95.8
5.46362,-0.0790685,94.8
4.79177,-0.10518,92.2
4.65648,-0.0773117,91.6
4.84924,-0.0890861,91.6
4.75053,-0.0303124,91
3.84732,0,90.6
4.75008,0.0303153,86.8
7.42446,0.0387907,83
9.6546,0.0596607,83.6
11.2789,0.0383016,86.2
11.6432,0.0309194,91.8
11.1051,0.0259341,111.4
9.69642,0.0148508,122.2
8.44074,0,128.4
8.95348,0,135.2
6.95602,0,139.4
7.18364,0,139
7.77817,0,139.2
8.19663,0.0966251,140.6
8.1572,0.105919,140.2
6.92132,0.0832211,138.2
7.1556,0.0804963,138.6
7.87346,0.0731572,139.2
8.38577,0.0601018,141.4
9.0541,0.0556654,140.2
9.7669,0.0663465,142
11.8371,0.066908,143
9.96036,0.0650579,141.4
9.54996,0.0527751,139.2
10.9091,0.0461998,137
10.6232,0.0406658,137
9.74351,0.0517267,138.6
8.85878,0.0568927,141.6
14.3114,0.0553405,146
10.7906,0.0533797,146
11.2443,0.0512259,146.6
10.9047,0.0528213,146.8
7.84782,0.0825707,146.4
9.37602,0.0614333,147
13.5206,-0.026626,147
13.052,-0.0220656,147.2
10.7174,-0.0335903,152
7.51375,-0.0191649,152.8
10.9153,-0.0527701,152
8.35335,-0.0689544,150.4
7.78219,-0.0832671,151
