label:'regular'
speed,elevationGradient,heartRate
0.246232,0,76
0.270847,0,76
0.320079,0,76
0.257368,0,76
0.257368,0,76
0.135424,0,76
0.389312,0,75.8
4.46306,-0.0322648,72.6
1.30971,0,72
0.288156,0,72
0.055404,0,76
0.190828,0,78.2
0.110808,0,78
0.110808,0,78
0.110808,0,79.4
0.055404,0,74.4
0,0,67.2
0.055404,0,68.6
0,0,70
0,0,70.6
0.055404,0,78.4
0,0,83
0,0,92
0,0,96
0,0,99
0,0,100.2
0.055404,0,103
0.055404,0,102
4.35273,-0.0330827,99.6
1.95908,0,103.8
0.448011,0,106.8
0.26354,0,107
0.471676,0,108.2
0.318944,-0.225745,110.6
0.135424,0,106.4
1.28544,0,99.4
2.24927,-0.0320103,98
3.49681,-0.0205902,98
3.92611,-0.0183388,98
6.3915,-0.0337949,101
9.24591,-0.0389361,108.4
9.59168,-0.030026,111
8.92838,-0.0322567,112.8
7.95651,-0.0271476,117.4
8.66791,-0.033226,124
9.48888,-0.0834661,128.6
9.23157,-0.0389966,129.6
9.00097,-0.0319965,128.8
8.78074,-0.0327991,128.2
8.87415,-0.0162269,130.2
9.10334,-0.0316367,131
9.13577,-0.0394055,129
9.05294,-0.0556725,128.4
9.03266,-0.0717397,128.2
8.82634,-0.081574,128
8.54411,-0.0758417,127.6
8.01175,-0.0808813,126.6
7.54888,-0.0667649,124.2
8.3297,-0.0691502,122.8
8.71605,-0.0743456,122.8
9.31237,0.0773165,121.4
10.1148,0.0355915,119.2
7.82857,0.0643795,120.2
8.09501,0.071155,127.2
9.50937,0.0378574,130
9.45179,0.0304704,132.4
8.62204,0.0501041,135
8.67665,0.066385,136.6
9.11769,0.0552771,138
9.26647,0.0699296,139.8
9.29757,0.0696956,142
9.31752,0.0309095,140.8
9.34944,0.030804,140.8
9.47656,0.0455862,141
9.43514,0.0610484,140.6
9.43385,0.0610567,143.2
9.44879,0.0762003,145
9.39859,0.0306429,146
9.34456,0.0385251,145
9.3413,0.0385386,142.8
9.29336,0.0774746,142
9.15609,0.0393181,142
9.11196,0.0553119,142
9.02138,0.0558673,142.2
9.1848,0.0391952,143
9.49766,0.0227424,145.2
9.7169,0.0444586,146.4
9.74077,0.0665245,145.2
9.61984,0.0449072,143.6
9.42891,0.0305443,143
9.36842,0.0230562,141.2
9.50279,0.0378836,139.6
9.54143,0.0830064,141
9.65983,0.0298142,140.6
9.62806,0.0299126,137.8
9.50668,0.0227209,136.6
9.43997,0.0381357,137.2
9.17738,0.0313815,136
8.9456,0.0321946,134.6
8.79342,0.0327518,136.2
8.92816,0.0322575,137
9.15918,0.0471658,137
9.4328,0.0457977,136.2
9.5067,0.037868,137.4
9.14764,0.0393544,139.8
8.85485,0.0406557,138.2
8.83584,0.0407431,137.2
9.13497,0.0551726,139.2
9.18018,0.0705868,138.2
9.11628,0.0473877,139.8
