label:'regular'
speed,elevationGradient,heartRate
0.625617,0,171
3.87897,-0.0185616,171
7.29754,-0.00986634,171
8.44035,-0.0170609,171
9.01686,-0.0159701,171
8.58658,-0.0167704,171
8.07387,-0.0178353,171
10.4744,-0.0206216,171
11.5856,-0.205082,171
9.90797,-0.617684,171
8.33411,-0.570187,171
8.54372,0.0168545,171
9.01203,0.0559252,171
8.35358,0.00861906,171
8.60516,0,171
9.36344,0.00768948,170
9.8729,0,170
10.1969,0,173.2
10.2485,0,175
10.1651,-0.00708307,175.2
9.84516,-0.00731324,176.8
9.74931,-0.00738514,180.6
9.93476,-0.00724728,181
10.1496,-0.00709388,181.6
10.2143,-0.0140978,183.4
9.86227,-0.00730055,185.6
9.38923,-0.0153367,182
9.10441,0,176.8
9.01781,0.119763,172.8
9.29928,0.131623,170.2
9.44161,0.2364,168
8.30806,-0.0346651,168.8
5.66648,-0.0254126,170.8
4.89832,-0.0146989,169.8
9.43749,-0.190729,167
8.51561,-0.126826,164.8
5.49713,-0.11788,166.4
7.7847,-0.0462446,166.2
7.34583,0,166
7.1832,0,161.8
12.6188,0.00570575,163.4
14.6037,0,164.4
12.5089,-0.00575592,165.8
11.0006,0,167.8
11.4209,0,170.2
11.3629,0,172.8
10.7948,0.0066699,174
10.6079,0,173.4
10.5922,0,171
10.7982,0,171.2
10.7751,0.0400924,175.8
10.8088,0.0333062,179
10.3655,0.0208384,178.8
9.7038,0.00741977,176.8
8.81618,0.00816681,170.8
9.84137,0.0219482,171.4
10.1651,0.0212491,172.2
4.09226,0.0351884,172
9.5026,0.0303075,172.2
8.73811,0.0247193,176
9.56697,0.0075259,176
10.672,0.0134933,175.2
11.3331,0,175
11.2658,0.00639104,176.2
10.5884,0.0203996,175.6
11.4746,0.0313737,176.6
11.6884,0.0431196,174
10.7302,0.0335501,171
12.1669,-0.0236707,170
11.2875,-0.044651,170.4
10.6865,-0.0741121,170
11.4975,-0.0688845,169.6
10.0786,-0.0357194,170
10.3828,-0.0208036,170.4
10.3617,0.0347433,170.2
10.2024,0.0282286,173
10.5315,0.0136733,175.2
10.5551,0.0545706,177.4
9.10678,0.0711558,178.2
11.0675,0.0650552,179
10.4691,0.0412644,180.8
10.6163,0.0203461,183.2
10.4524,-0.0551069,184.2
10.9847,-0.0589914,185.4
11.7662,-0.0673117,186.6
10.4456,-0.0758216,181.8
10.0066,-0.0791475,177
10.6858,0.0134758,176.4
10.925,0.0197713,179.4
10.367,0.0277805,180
8.92761,0.0322595,180.2
8.99336,0.0400295,176.2
11.0795,0.0584864,176.4
9.014,0.055913,177
10.1021,0.064145,177.2
14.0142,0.0256883,178.8
9.38378,-0.138111,180.8
11.2163,-0.128384,178
11.0639,-0.071584,176.6
11.1543,-0.0645494,174.8
11.2271,-0.00641306,174
10.9005,0.00660521,174.2
10.2508,0.0210715,177.6
10.2441,0.00702846,178.2
11.0434,0.0586775,172.2
11.1276,0.0905852,171.4
10.8127,0.0799061,174
10.4975,0.068588,175
10.9076,0.0726102,175
10.9782,0.0983765,175
10.5656,0.0136292,175.6
9.87591,-0.0510333,175.2
9.6816,-0.0446207,174.2
10.0061,-0.0287825,174.8
10.5486,-0.0136511,173.8
10.6959,-0.0134631,172
10.3565,-0.0278087,170.8
10.0299,-0.00717855,174
10.1133,0.0284772,173.6
10.3776,0.03469,172.2
10.9399,0.0526513,172.4
11.0892,0.0454496,172.8
10.0592,0.035788,172
10.1768,0.0424496,172
10.5664,0.0204422,172.6
9.24971,-0.0311361,173
9.74745,-0.0590924,174
10.1756,-0.084909,174
9.87025,-0.0729465,174
10.091,0.0142701,175.4
9.37642,0.0383942,178
9.93339,0.0362414,175
10.2093,0.0211571,173.6
13.1403,0.0219173,170.2
12.7112,0.03965,168
11.3628,0.0570282,166.4
11.3752,0.0253182,167.6
10.4212,0.013818,169.4
8.96479,0.00803142,172.4
8.96306,0,171.6
9.52316,-0.00756051,169.6
10.0832,-0.0142811,171.4
10.244,-0.0210855,172.4
9.1337,-0.0315316,173
8.5221,-0.0337945,174
14.0112,-0.0411099,174
9.12464,-0.0473443,174.6
10.5943,-0.0475727,174.4
10.2179,-0.0493254,172.2
10.1019,-0.0498918,171.2
10.0949,-0.0499261,172
10.6463,-0.0405775,172
10.1774,-0.0353725,172
9.02566,-0.0398863,173
11.0583,-0.0260437,173.4
12.8873,-0.0223475,175
10.5893,-0.0271972,177.2
10.7331,0,176.2
9.86992,-0.00729489,176.6
9.4448,-0.00762324,180
10.493,-0.00686174,179.2
10.5672,0,177.4
10.5126,-0.00684893,176.2
12.8895,-0.0111719,175.4
10.067,-0.0214562,175.2
11.7272,-0.0184187,176.4
10.2745,-0.0140153,175
8.49739,0,175.8
8.75241,0.00822631,173
10.2822,0.0210072,169.2
10.5494,0.0204751,167
10.3032,0.00698809,164.2
9.75201,0,160.6
9.33273,0,159.2
9.80734,0,161.4
10.0981,0,166.4
10.3381,0,168
11.4411,-0.0188794,169.8
11.2039,-0.0192791,171.6
8.93797,-0.016111,172
8.93364,0,170.4
11.0739,-0.00650179,172
11.1705,-0.0128911,175
10.1882,0,176.8
8.40085,0.0171411,179.8
8.08312,0.00890745,177.8
10.0888,0.0214099,173.8
11.6072,0.0310153,173.6
11.1561,0.0322695,173
10.0625,0.050087,173.8
10.1054,0.0498746,174.6
11.1734,0.0257755,173.8
11.6503,0.00618008,174.8
11.0736,0.0130039,174.4
10.7808,0.0267141,173.4
10.7821,0.0267111,172
10.761,0.0267633,171
10.7495,0.026792,173.4
10.5942,0.0203886,176.4
11.0555,0.0195379,175.8
12.4204,0.0231877,174.2
11.6488,0.0309044,175
9.87851,0.0437313,172.6
8.43295,0.0256138,172
7.80376,0,172.4
9.55891,-0.00753224,171
