label:'regular'
speed,elevationGradient,heartRate
3.28633,0.153362,88
4.15596,0.121272,87.4
4.24508,0.101765,90.4
3.95356,0.0728457,87.8
5.09369,0.0848109,84.2
5.37463,0.0937738,84
4.84785,0.103964,82.4
5.00052,0.0431955,85
4.96852,0.0144912,84
4.83681,0.0148858,85.8
4.66132,0.0308925,86.4
4.7888,0.0451053,85
5.84672,0.0246292,84.4
4.3016,-0.016738,84.8
4.29541,-0.0335242,88.2
4.30159,-0.0836899,91.6
4.25461,-0.0507685,94.6
4.30159,-0.150642,95
4.4853,-0.0481573,96.6
5.27316,-0.0546162,97.2
4.9555,-0.159822,96
5.27825,-0.0136409,94.2
5.25351,0,90.6
5.48439,0,88.2
5.09257,-0.0141382,85
5.04655,-0.0142672,82.6
5.14213,-0.0280039,81.4
5.39081,-0.0267121,81
5.43981,-0.0264715,81
5.47318,-0.0131551,81.8
5.46853,-0.0263325,79.2
5.46287,-0.0263598,77.6
5.41579,-0.0265889,76
5.40989,0,76
5.35404,-0.0134478,79
5.33113,-0.0270112,80.4
5.36893,-0.026821,80
5.38811,-0.0400883,80
5.10813,-0.0281903,80.2
5.58072,-0.0516063,81
5.89168,-0.0488825,81.4
5.73928,-0.0250903,83
5.11986,-0.0281258,82.8
4.72531,-0.0457113,82.8
5.46621,-0.0395155,84.4
6.21582,-0.0347501,84.6
6.02595,-0.0597416,82
5.32771,-0.054057,78.6
5.01249,-0.0430923,77.4
4.95815,-0.0726077,77.6
4.96847,-0.0579656,78
5.10811,-0.0845714,79.8
5.07032,-0.0710015,81.6
5.18482,-0.0555468,80.8
5.18333,-0.0555627,79.2
5.26151,-0.0547372,77
5.70609,-0.0504724,76.6
6.17186,-0.0583292,80.6
3.82636,0,77
4.02702,0,76.6
4.24781,-0.0169499,76.4
4.95327,-0.0290717,77.4
5.00491,-0.0431577,79.8
4.74793,-0.0151645,80.8
4.96312,-0.029014,80.4
5.31602,-0.0541759,79.4
5.43881,-0.0397146,80
5.3613,-0.0671479,80.4
5.94796,-0.108945,81.4
7.24503,-0.0795028,80
5.67504,-0.0634356,80
5.70708,0,81.2
8.26393,0.0348503,94.2
10.0763,0.0500185,101
8.05322,0.0447026,107.4
10.6392,0.0406044,112.2
9.41451,0.0305911,116.2
9.50607,0.0227223,118.6
10.7237,0.0134281,121.6
9.98306,0,125
8.10996,0,127
8.05705,0,126
7.74075,0,130
7.12517,0,134.8
4.61232,0.0624415,137.4
5.20438,0.12451,139
7.05393,0.0918637,142.2
7.78925,0.0924351,143.8
8.18294,0.0791892,143
9.60527,0.0674629,143.8
11.4079,0.0568027,144.4
11.1999,0.0578578,144.4
10.5231,0.0684207,142.8
11.2634,0.063924,142.8
11.3139,0.0572745,141.2
9.91867,0.0435542,141.6
9.35929,0.0384644,142.8
8.66517,0.0415457,141.4
8.27568,0.0609013,137.4
8.46607,0.0510272,137
9.80947,0.0587188,136.8
12.2155,0.0530472,137
9.9112,0.043587,137.8
6.72911,0.0534989,139
7.58908,0.0664113,136.2
14.3694,0.0701488,134
14.8342,-0.0194145,134.4
11.8123,-0.0365722,133.4
8.47891,-0.025475,133.6
7.207,-0.0199806,135.4
10.3378,-0.0626825,136.8
11.1994,-0.0707182,135.8
9.97261,-0.0866373,135
8.60758,-0.125471,136.2
7.93839,-0.0544191,134.4
8.06004,0.00893296,134.2
10.2886,0.0699805,135.6
9.85599,0.073052,137
8.25481,0.0523331,138.2
6.75226,0.0533155,139
7.97213,0.0722517,139.8
7.92416,0.0636029,140.6
8.27983,0.0782625,141.2
9.17127,0.117759,142.6
9.7509,0.265822,144
8.69673,0,145.6
7.57551,0.209095,145.8
8.06025,0.142924,146.4
5.61896,0.153765,147
7.47659,0.134821,148.8
9.15835,0.0943401,148.6
7.36649,0.0977399,149.6
9.53508,0.0830617,149.4
8.22126,0.0700623,148.6
8.49916,0.0677714,148.4
8.96673,0.0642375,149.2
8.70142,0.0579216,149.6
9.60057,0.0449973,149
12.0001,0.0419996,149.4
10.4667,0.027516,149.2
12.5731,0.022906,148.6
10.636,-0.00676949,145.6
9.76669,-0.029488,144.4
9.80432,-0.0293748,143.8
9.48816,-0.037942,143
9.40122,-0.0306343,142
9.75335,-0.0369104,140.8
10.6953,-0.0134638,137.8
10.9399,-0.0065814,134.8
8.83625,0,134.4
10.8772,0.0132387,134.2
9.73421,0.0221898,132.8
8.4455,0.0255757,131
9.22146,0.0468473,130.2
11.5219,0.0562405,130.6
12.1731,0.0650613,131
11.3611,0.063374,131
10.2672,0.056101,131.4
9.97931,0.0432896,132.2
11.3847,0.0442699,133.8
11.8711,0.0363909,135
9.30789,0.0464123,135.4
9.53357,0.0377613,138.4
10.315,0.0349006,138.8
11.0409,0.0195636,139
