label:'regular'
speed,elevationGradient,heartRate
0.661615,0.108825,83
0.672058,0.214267,83
0.37306,0,83
1.27061,0.169997,83
1.6115,0.134036,83
1.64626,0.131206,83
0.725213,0.0992812,83
3.55597,0.101238,83
5.49403,0.104841,83
5.28317,0.122654,83
5.07749,0.0992616,83
5.24403,0.0823794,83
5.21656,0.0690109,83
4.69478,0.0766809,83
4.36549,0.098958,83
4.6659,0.0925867,83
4.5105,0.0478883,83
4.21012,0.0171016,83
3.85559,0,82.2
4.13116,0.0174285,80.8
4.31914,0.01667,77.2
4.33622,0.049813,72.6
4.37577,0.0329085,68
4.63188,0.0155444,68
4.58474,-0.0157043,73.2
3.35074,-0.0214878,76.2
3.03784,-0.0948043,82.6
3.71116,-0.0582028,88
4.40888,-0.0653227,89.6
4.92615,-0.0730793,85.4
4.52386,-0.079578,83.8
4.40963,-0.0816395,84.8
4.77653,-0.0753685,83.6
3.78226,-0.114217,84.2
3.92289,0,82.2
3.86387,0,79
4.61048,0,76.2
4.84055,-0.0148744,74.4
4.46307,-0.0161324,72.2
4.18168,-0.0344359,67.2
4.17623,-0.0172404,66
4.28506,-0.0168026,66
4.2797,-0.0336473,65.4
4.3444,-0.0165731,64.2
4.29896,-0.0167482,64.2
4.46103,-0.0322795,63.8
5.0365,-0.0142956,66.4
4.88073,-0.0295038,69
4.24601,0,68
4.14027,-0.0173902,65.8
4.24598,-0.0169572,65
4.59086,-0.0313667,68.2
4.64251,-0.0310177,70.2
4.13625,-0.0348142,74.8
4.72869,-0.0456786,81.4
5.12033,-0.0421847,83.6
5.20107,-0.0553732,87.6
4.74815,-0.0151638,87.6
4.3515,-0.033092,86.2
4.67589,-0.0461944,87
4.73222,-0.0304297,80.8
4.63386,-0.0466134,79.6
4.61621,-0.0311944,83
4.5069,-0.0639021,82.6
4.46478,-0.0483787,81.6
4.23818,-0.0509653,82.6
4.2147,-0.0512492,85
4.30422,-0.066911,84
3.45039,-0.0626017,83
1.06548,-0.0675752,82.8
0.158941,0,81.2
0,0,80.4
0.0529805,0,80.8
0.0529805,0,78
0.185981,-0.387137,66
2.08313,-0.0691268,58
4.6019,-0.0782285,56.2
4.86521,-0.0739948,55.4
