label:'regular'
speed,elevationGradient,heartRate
3.37398,0.128039,76
2.74232,0.157531,76
3.71043,0.0970239,76
3.7519,0.0959513,76
3.26069,0.0662436,76
3.95001,0.0911389,76
4.25736,0.0845594,76
4.7752,0.120623,76.8
4.87762,0.0590452,76
4.42333,0.0325547,79
3.88751,0,79.2
4.00497,0.0179777,77
4.25349,0.0338545,78.6
3.91659,0.0551501,78
3.67406,0.0195969,77
3.67915,0.0195697,76.6
3.76425,-0.0191273,78
3.78086,-0.0380866,73.6
4.06071,-0.0886544,73.8
4.4013,-0.147229,70.2
4.23014,-0.0680828,69
3.84627,-0.0748777,73.8
3.18921,-0.0677284,76
2.80461,-0.077016,75.4
2.87086,-0.175557,74.4
3.4551,-0.0208388,72
3.86623,0,71.4
4.22938,0,71.4
4.28144,0,69.4
4.12303,-0.0174629,67
4.01446,-0.0179352,67.6
3.88071,-0.0371066,64.8
3.73723,-0.0192656,64
3.62463,-0.0198641,65.2
3.55777,-0.0202374,66.4
3.53326,-0.0203778,67.6
3.6732,-0.0196014,67
3.81459,-0.0188749,66.6
4.09155,-0.0351945,70.2
4.25728,-0.0169122,75.2
4.38392,-0.0328473,76.2
4.37336,0,76.4
4.21576,-0.0170788,76.2
4.04234,-0.0178115,76.8
4.09532,-0.017581,77.6
4.24975,-0.0338844,78.6
4.0464,-0.0355872,78.8
2.99474,-0.0480843,79.4
1.39516,0,82.4
0.105961,-0.679495,80.6
0.158942,0,78.6
0.360872,0,78.2
1.28749,-0.0559229,82.4
0,0,82.2
0.0800198,0,73.2
0,0,61.2
0.0800198,0,64.2
0,0,68
0,0,71.6
0,0,72
0,0,78.2
0,0,77.4
0,0,75
0,0,63.8
0.853157,0,54.8
3.91216,-0.0552125,52.2
3.86758,-0.0558489,51.2
4.29896,-0.0334965,54.8
4.26925,-0.0168648,65.6
3.99038,-0.0360868,67.2
4.42423,-0.0488221,69.2
5.99438,-0.0360337,80.6
7.92434,-0.0454297,82.2
8.81934,-0.0571471,84
9.06501,-0.0555984,89.6
9.0474,-0.0636647,98
9.10427,-0.0790838,100.6
8.8445,-0.0488439,104.6
8.19343,-0.0527252,106.8
7.79353,-0.064669,109.8
7.32491,0,112
8.01702,-0.0179618,112
9.09155,-0.0316778,111.6
8.71033,-0.0330642,111
8.95755,-0.0401896,111
8.85276,-0.0813305,111.2
8.80354,-0.0899638,113.8
9.11456,-0.0552961,116.8
9.52932,0.0151113,120.6
10.5573,0.0545593,124.8
