label:'regular'
speed,elevationGradient,heartRate
8.77156,0.00820834,60
10.0959,0.0285264,60
8.13962,0.00884562,60.8
11.3144,-0.00636355,61.2
11.5303,-0.0124889,62.2
11.5605,0.00622812,65
10.8092,0,72.4
10.3092,0.00698408,73.6
11.0914,0.00649149,74.4
11.7657,0.00611946,76.4
12.0048,0.0059976,78
11.6681,0.00617068,78
11.2599,0,78.6
11.2584,-0.0127905,79.4
11.4753,-0.0125487,82.4
11.4986,-0.0187848,82.8
10.4619,-0.0275285,82
10.3989,-0.0207714,83
9.8424,-0.0292612,83.4
9.40704,-0.045923,84.2
11.0149,-0.0196099,85
11.6199,-0.00619625,84.6
11.8758,-0.00606276,85
11.5069,0,84.6
11.3273,-0.00635633,82.8
11.1988,-0.0128586,81.6
11.296,-0.00637394,82
11.6878,-0.00616029,82.2
11.8635,-0.012138,83.8
11.5025,-0.00625952,85.8
11.0996,-0.0129735,88.2
11.9644,-0.0120357,89.8
12.0322,-0.00598394,91
10.7693,-0.0133713,92
8.60026,-0.00837184,92.8
7.14399,-0.0100784,92
7.57607,-0.0095036,92.4
8.47726,-0.00849331,93
9.04039,0,93.8
9.30162,-0.00774059,95.6
9.24933,-0.00778434,97.6
8.88647,0,99.6
8.85208,-0.00813368,101
9.12449,-0.00789086,102
9.61689,0,102
10.11,-0.00712167,103.2
10.4218,0,104
10.7344,-0.00670738,105
10.7859,-0.0066754,106.8
10.9065,0,107
11.0055,-0.00654221,107
10.9026,-0.00660391,107
9.85427,-0.00730648,107.8
10.8158,-0.00665693,108
11.5247,-0.00624746,109
11.5212,-0.00624937,110.6
12.2705,0.00586773,110.2
12.0501,0.0179252,110.8
10.2443,0.0351415,110
11.1999,0.00642865,110.2
11.3392,0.0126993,111
10.7132,0.0268826,112
11.6079,0,112
11.7092,0,114.2
10.5212,0.02053,114
10.5127,0,113.6
11.0903,-0.0129843,115.2
11.4035,0.00631383,114.4
11.5648,0.00622579,110
11.552,0,109
11.4183,0.0189169,109.4
11.4542,0,110.2
11.6434,0.0123675,111.4
12.117,-0.0178261,113.2
11.4698,-0.00627733,113
11.1222,-0.00647357,111.8
11.7037,-0.0246076,110.8
11.4244,-0.0252092,110
11.0755,-0.045506,111.4
10.886,0.00661401,113.4
10.7934,0.0533658,114.6
10.995,-0.0392906,113
11.2052,-0.0578301,113
11.4657,0.00627959,113.2
11.0325,-0.0130523,113
11.3128,-0.0636448,113.4
11.6351,-0.00618816,113.6
11.2687,0.0255574,114.8
11.0216,0,116.4
10.9984,0,118
11.0661,0,118.4
11.1093,0,123.2
11.223,-0.00641538,125.2
11.1963,0,128
10.8683,-0.00662476,130.6
11.2154,0.00641974,132
10.4594,0.00688377,132
12.1202,0,135.2
12.4883,-0.00576542,139.2
11.4994,0,138.2
10.7189,0,141.4
11.8224,-0.00609012,142.4
12.1777,-0.0118249,143.8
11.2774,-0.0127689,145.2
11.768,-0.00611831,146.8
12.2214,0,151.2
11.8849,0,153.2
11.3376,0,156.8
11.3618,0,158
11.418,0,159.6
11.7809,0,166
11.4474,0,179
10.711,0,181.6
11.5473,0,184.6
10.4991,-0.0274309,184
11.397,-0.0189523,185
11.4041,-0.0252541,186.4
11.0793,-0.0324931,188.4
10.3664,-0.0277821,194
10.7353,-0.0335343,189.8
10.8005,-0.00666635,181.8
9.89089,0,182.2
11.074,0,180.8
11.8334,0,180.6
11.6954,0,182
11.4271,0,181
11.3782,0,180.4
11.6593,0,180
12.0675,0,181
12.3965,0,180.6
12.2926,0.0058572,180.2
11.757,0,181.6
11.265,0,181.6
10.828,0,181.6
10.8791,0,182.2
11.8847,0,183
11.2312,0,183
10.9598,0,182.2
11.1047,0,181.4
10.1418,0,181
9.15095,0.00786803,180.6
9.43816,0,185
9.37034,0,185
10.3274,-0.00697174,186
11.1576,-0.012906,185
5.98436,0.0360941,181.2
10.1271,0.0710967,174.2
10.1329,0.0355277,169.6
10.266,-0.0140269,162.8
10.7919,-0.00667167,161
10.838,0.0066433,158.6
11.0991,0,160.6
12.1838,-0.00590947,164.6
11.1191,-0.038852,162.2
10.4992,-0.00685766,163
11.541,-0.00623865,163.8
10.4444,-0.0344684,173.6
10.662,0.013506,178.8
10.9572,0.019713,182.6
10.929,0.144936,179
11.461,0.0879505,182.2
12.8401,0.089719,185.2
11.1027,0,184.6
10.1756,-0.00707574,182.2
11.0994,-0.0129736,182.6
11.087,-0.0389647,186.2
10.8694,-0.0198724,187
11.143,0.00646145,184.4
12.9139,-0.0501784,184.2
13.5956,-0.058254,185.8
10.5613,-0.0477216,186.2
11.3583,-0.0443728,188.2
12.7179,-0.0283065,188.4
11.5064,-0.0125147,188.4
12.167,0,185.8
12.042,0,184.2
11.3599,0,182.4
11.7056,0,182.2
11.7001,-0.0123075,182.8
12.9273,-0.0111392,186.4
12.1712,-0.0118312,185
11.3315,0,181
11.3185,0,180.2
11.2786,-0.00638377,176.2
10.8363,0,180.4
11.6717,0,183.8
11.3654,0,180.2
11.39,0,183.8
12.5018,0.00575917,184
11.6795,0,184.2
11.8791,-0.00606108,186
12.1711,-0.0118313,186
12.8766,-0.0223662,185.4
12.3618,-0.0116488,186.2
12.1207,0,189.4
11.9905,0,192.6
10.4622,0.00688195,192.6
10.4426,0.0206845,191.8
12.0931,0.0178614,191.6
12.735,0.0169612,188.4
12.0226,0.0119774,188
11.7353,0.00613534,187.6
12.2829,0,188.4
12.5608,-0.00573213,187
11.6709,-0.0123383,186.2
11.7126,0,181.6
11.0507,0.00651542,183.2
11.1133,0.0129575,184.8
11.861,0.0121406,183.4
11.5677,0.0186728,185.8
10.9643,0.0197002,186.4
10.7457,0.0134007,185.8
10.9715,0.00656246,186.6
11.4032,0,187.2
11.578,0.00621869,182
11.6125,0.00620023,182.8
11.5603,0.00622821,184
11.9933,0.0120067,186
10.7715,0.0133686,187
11.2871,0.0191368,187.8
11.6808,0.0184918,187
10.7984,0.020003,186
12.2182,0.0235715,185.6
13.125,0.0164571,186
11.4949,0.0187909,186.2
11.4247,0.0315106,184.6
7.53158,0.0286792,182.8
4.47697,0.0482469,174
9.0614,0.0317832,171.2
11.581,0.00621707,169.6
10.8001,0,167.6
12.4334,-0.0115817,166.2
12.6184,-0.0228238,169
11.818,-0.073109,168.6
11.3643,-0.0760279,167
11.8645,-0.0485483,168.8
12.5274,0.00574739,174.8
11.6178,0.0123948,181.6
10.1799,0.0353638,183
10.8262,0.0399031,184
11.7465,0.012259,188.8
11.7083,0.00614946,189.8
11.5857,0.0186436,188.4
11.9304,0.0241399,192
11.8491,0.0243056,189.2
11.9046,0.0120962,184.2
11.9772,0.00601144,183.2
11.7004,0.00615363,182.4
11.3206,0.00636008,182
10.9336,0.0131704,183
11.3183,0.031807,184.2
11.6528,0.0185363,183.6
11.5018,0.0125198,184
11.9071,0,185.8
11.8054,0.00609892,187
11.1839,0.00643781,188.2
11.3789,0,189
12.0023,0.00599886,185
12.6949,0,181.8
12.7072,0,180.2
12.286,0,181.8
12.266,0.0117397,184.6
11.9257,0.0120748,184.2
12.378,0.0174503,184
11.4266,0.0189032,184.2
11.66,0.0246999,182.4
11.8299,0.0182589,181.4
11.3902,0.0379275,181
11.4292,0.0314982,181
11.5003,0.0375643,176.6
11.2436,0.057633,178.4
11.021,0.0783957,179.8
10.8134,0.0998758,182.2
10.3799,0.0971106,186
10.0597,0.0787297,187.4
9.81505,0.0880281,188
8.91949,0.104939,188.6
9.16127,0.102169,187.4
8.51999,0.0760564,182
8.06701,0.0446262,178.6
7.76311,0.0649225,177
10.1751,-0.0212282,176.4
11.7705,-0.0244679,180
11.0536,-0.0260549,180.8
11.5295,0.0374691,181.2
10.2671,0.0420763,183.2
9.90768,0.0363354,185
10.767,0.0267484,186.4
11.4531,0.0314325,188
10.8305,0.0398872,183.2
11.3447,0.0380793,182.2
11.5985,0.0248307,182.6
11.7744,0.0122299,182
11.8816,0.00605981,181.4
11.6145,0.00619916,181.4
11.137,0.00646495,183
10.9957,0.00654802,180.8
11.2635,0.00639234,176.6
11.7311,0.0122751,172.2
11.5608,0.0186839,175
11.0919,0.0129824,179.2
10.8793,0,181.8
10.7098,0,181
10.8568,0,181
10.9676,0.00656477,180.6
11.2595,0,180.8
11.726,-0.00614018,183
12.1472,0,183
12.3841,0,183
12.2437,0,184.8
12.2155,0,186.2
12.1057,0,187.4
12.002,0,184
11.9273,0,184.2
12.042,0,184.6
