label:'regular'
speed,elevationGradient,heartRate
11.4392,-0.0629413,66
13.7658,-0.0679945,66
12.1028,-0.0654393,66
5.89341,-0.12217,67
10.6155,-0.0203475,68
13.9955,-0.0720231,70.6
14.0483,-0.0871279,72.2
13.4865,-0.138805,73.4
12.6901,-0.0680846,75.8
12.5208,0.0287522,78.6
12.5825,0.0228889,83.2
12.6022,0.0228531,89
12.335,0.0233483,89
12.1975,0.0177085,90.6
12.0611,0.00596959,92
11.9092,-0.00604573,92.6
12.0336,0.0119665,93
12.4711,0.00577335,96.4
12.534,0.00574438,100
11.7976,0.00610296,101
11.0731,0,102
11.8205,-0.0121822,102.6
11.9398,0.0723631,125
10.8715,0.132457,167.8
10.5039,0.0548366,177.4
9.41691,0.122333,178
8.72845,0.0907378,178
9.61945,0.0973028,178
10.2488,0.0843024,178.2
10.1447,0.0851672,176.4
9.48485,0.0759105,174.2
8.96699,0.0481767,175
8.92613,0.0483972,176
9.41998,0.0305733,177
10.3019,0.006989,176.6
11.2776,0.0127687,178.2
12.2182,0.00589287,178.8
11.9705,0.00601476,178
10.5568,0.00682028,179.2
11.9062,0.0181418,182
11.2244,0.0384875,184.8
9.75061,0.0295366,183
11.1554,0.0516343,183
12.1611,0.0592052,182
13.1548,0.0109466,181.4
10.8159,-0.059912,184.2
10.8791,-0.0794187,182.8
11.6652,-0.061722,181.2
11.4948,-0.0751645,180.6
10.6017,-0.0679133,181
10.936,-0.079005,181.4
11.4122,0,185
11.3908,-0.0948133,181.8
12.4175,-0.0231931,180.2
12.5692,-0.0286414,180
11.9463,-0.0482158,180
11.1343,-0.0969973,179.4
10.59,-0.0883849,175.8
10.7782,-0.100203,174.6
11.1793,-0.154572,180
11.1868,-0.0901063,181
10.2631,-0.126278,181
9.90746,-0.0508708,180.6
10.5371,-0.0409981,179
11.697,0,177.2
12.3933,0.0116192,176.4
12.5377,0.0114853,177.6
12.6652,0.0113698,180
12.5815,0.017168,180
11.362,0.0190108,181.6
11.0247,0.0195924,181.4
10.7414,0.020109,180.6
10.4651,0.0344001,177.6
10.9143,0.0329844,178
11.3068,0.0573106,178
11.3723,0.0886367,179.4
11.3041,0.114648,180
11.0527,0.123771,180.8
10.9156,0.112133,180
10.9913,0.0917091,177.2
11.238,0.0832885,177
11.3021,0.0637048,178
11.3123,0.057283,178.4
11.3827,0.050603,178.4
11.9055,0.0967621,178
12.4349,0.121593,179
