label:'regular'
speed,elevationGradient,heartRate
2.95231,0.0243877,84
3.04638,0.0236346,84
2.62405,0,85.4
3.75278,0.0191858,86
3.87898,0,85
3.79822,0,83.4
4.82792,-0.0149132,82.2
4.87955,-0.0147555,83.2
4.66725,0,85.4
4.92286,-0.0146256,82.4
4.61766,0,76.8
4.53789,-0.0158664,78
4.59263,0,81.8
3.92175,-0.0183591,82.4
3.58869,0,87.6
3.91707,-0.0183811,85.2
4.42353,-0.0162766,78.6
4.77497,-0.0150786,75.2
3.8436,-0.0187324,74
4.13615,-0.034815,75
4.75626,0.0151379,77.4
5.14812,0.0139857,78
4.80666,0.0299584,77.4
4.56399,0.0157757,77.4
4.46068,0.0322821,78.4
4.34983,0.0165524,78
4.51926,0.0159318,77
4.06232,0.0177239,75
4.50481,0.0159829,75.8
4.67504,0.0154009,77
4.31821,0.0166736,79
4.59408,0.0156723,81.8
5.35538,0.0134444,81
4.59785,0.0156595,81
4.34627,0.0165659,81
4.48082,0.032137,80.6
4.47674,0.0160831,80.4
4.32796,0.033272,82.8
4.4027,0.0163536,79
4.72575,0.0152357,76.8
4.74395,0.0455317,75.2
4.68411,0.0153711,70.8
4.74172,0.0303688,68.6
5.0126,0.0143638,68.8
5.17267,0.0278386,69.6
4.86085,0.0148122,73.4
4.71861,0.0305175,73.2
5.21682,0.0138015,70.8
4.92362,0.0146234,69.2
4.55183,0.0158178,71.6
4.36917,0.0164791,73
4.33489,0.0332188,72
4.34746,0,73
4.59791,0,73
4.82863,0,73.2
4.26382,0,74
3.43737,0,74.2
0.571945,0,73.8
0.133479,0,70.8
0.395623,0,68.8
2.48244,-0.0290037,67.6
1.38054,0,66
0.133479,0,61.2
0.0962346,0,60.4
0.689045,0,64
5.61238,-0.0128288,62.6
6.07001,-0.0118616,61.8
6.68432,-0.0107715,61.4
8.22439,-0.00875445,62
7.66647,0.0187831,63
8.76246,0.0246506,63.2
8.12176,0.00886507,64
9.67527,0,65.6
9.29811,-0.0232305,66
11.5252,-0.0249886,68.8
12.4348,-0.0231608,70
9.78306,-0.0294386,70
9.93787,-0.01449,71.6
10.8086,-0.00666136,72.6
9.6086,-0.00749329,73
9.57615,-0.00751868,73
10.0164,-0.0143764,76.6
9.87191,0,80.6
8.5008,-0.00846979,82.6
10.0916,0,81
9.38718,0.00767003,81
8.03623,0,81
10.1805,0.00707237,82.2
12.773,0.0225476,84.8
9.08505,0.00792511,85
9.2448,0.00778816,85
9.65116,0,85
8.13508,-0.00885056,85.8
6.57892,0.0328321,86
8.25948,0.0261518,86.2
8.26497,0.0174229,87.8
8.67634,0.0248953,89.8
6.02575,0.0119487,91
6.76687,0.0212802,90
7.07625,0.0101749,90.6
6.7742,0.0106286,92
9.29436,0,93.4
11.4317,0,92.2
10.4257,0,96.2
8.77961,0.00820082,97.4
8.41303,0,98
7.78737,0,97.2
7.5065,-0.00959169,98.2
9.54415,0,100.2
8.74724,0,101.6
5.76898,0.0124805,102
6.41963,0.0112156,103
8.4523,0.0170368,104.6
10.0264,0,105.8
9.68968,0.00743058,108.6
5.99284,0.036043,111
7.83369,0.00919107,115.4
8.76409,0.00821534,120.4
9.38539,0,123.6
8.95387,0.00804121,127.6
8.35015,0.0086226,128.6
7.51643,0.00957901,128.4
10.035,-0.00717487,129.2
10.077,0,130.6
9.29466,0,133.8
9.01298,0,134.6
10.3702,0,133.2
11.9338,0.0120666,132
10.7699,0.0133706,133.8
9.51507,0.0227008,135.2
9.13506,0.0236452,136.6
9.22737,0.0156057,138.8
9.62543,-0.00748019,140
11.7057,-0.0246033,140
10.0873,-0.042826,139.4
5.60182,-0.0257059,140
4.08867,-0.0352193,141.8
6.72166,-0.0107116,141.2
8.64882,-0.0166497,141
9.20538,-0.015643,138.2
10.0858,-0.0142775,141.4
11.9865,-0.0180202,142.8
12.1722,-0.00591509,143.8
10.33,-0.00697,144.8
10.1659,0,149
9.77488,-0.00736582,149
7.8084,0,150
9.47882,0,148.8
10.9653,0,150.8
10.7234,0,157.6
8.8055,0,158
9.46088,0,158.8
12.4141,0,161.6
10.9781,0.00655849,166.4
10.342,0,169
10.3411,0.00696251,168.8
9.92534,0.00725416,169
10.0103,0.00719257,172
10.484,0.0206028,173
11.3815,0.0253041,175.6
11.214,0.0192617,173.2
9.85879,0.0146063,174
8.97004,0.00802672,173.4
9.69237,0.014857,172.2
11.7958,0.0183115,171.6
10.3329,0.020904,171
9.22037,0.0156176,171.4
9.19766,0.0156562,171
6.8269,-0.0105465,171.4
4.1373,-0.0174027,171.4
7.95521,-0.00905067,167.8
8.50234,-0.0169365,166.6
8.03119,-0.0179301,164.8
9.29466,-0.00774638,166.2
8.88544,-0.0162063,166.4
9.92587,-0.0145075,168.2
