label:'regular'
speed,elevationGradient,heartRate
0.0528135,0,119
0.132833,0,116
0.158441,0,111.2
4.8812,0.0147505,111
10.2581,0.00701887,111.2
12.4533,0.0115632,112.2
12.2026,0.00590038,117
14.1194,-0.0101987,122.8
13.6835,0.00526182,131.6
14.035,0.0102601,140
13.9729,0.00515283,143.2
14.9083,0.00482952,149.2
11.7682,0.00611817,159.4
13.0628,0.00551183,171.2
13.0352,0.0276176,178
12.9197,0.0222915,182.8
12.9547,0.0333469,183.4
12.5383,0.0401969,184.8
12.3339,-0.0116751,185.2
12.4565,-0.0231205,185.4
14.2646,-0.0353322,181.6
13.6337,-0.0422483,182.2
13.8655,-0.0623127,182
14.1724,-0.0609634,182.6
13.7672,-0.0732177,186.4
14.5662,-0.0692014,188.8
15.186,-0.0948245,190
14.35,-0.0953312,190
15.2,-0.118421,189.4
14.6375,-0.108215,191.2
13.8091,-0.119921,194.8
14.1711,-0.106696,197
14.7712,-0.116985,199
15.0775,-0.0907311,199.8
14.9879,-0.0960773,197.8
14.2645,-0.0959021,189
14.0648,-0.0870257,188.2
16.2977,-0.0971919,186.4
16.2783,-0.0884612,185
14.4064,-0.0749666,185
14.9271,-0.0578812,186
15.4458,-0.0699219,187.2
14.7426,-0.0390705,186
15.8737,-0.0317507,188.6
15.5987,-0.0323103,187
15.2396,-0.0283472,186.2
14.7861,-0.0194778,187
14.6202,-0.0196988,186
14.5994,-0.00986341,184.2
13.4796,0.0160242,186.8
12.4187,0.0405841,185.8
11.8589,0.0546425,184.2
12.9662,0.0333174,183.2
13.8234,0,180.2
14.1382,-0.0458332,182.6
14.8842,-0.0580479,185.6
13.8226,-0.072924,186.2
11.8424,-0.0790383,186
12.7006,-0.0340141,186.8
10.8233,-0.113089,186.4
13.8226,-0.0781329,186.6
14.4707,-0.0646822,189.2
14.001,-0.0359974,190.8
13.7936,-0.0365387,192.4
13.8113,-0.0573442,193
14.3455,-0.0301139,193
14.6701,0.00981591,190.2
14.7575,0.04391,188.8
12.8505,-0.0224116,187
14.8008,-0.0340522,187
13.9584,-0.00515817,187
13.3878,-0.0107561,186.4
13.9683,-0.0257727,184.2
15.2693,-0.028292,190.2
14.611,-0.0246389,193.2
14.9332,-0.00964294,191.4
16.4071,-0.013165,190.6
16.933,-0.00850412,192.6
15.7196,-0.00458026,195.2
14.9246,0,196
15.5637,-0.00462614,195.2
16.2547,-0.0132885,195
15.2001,-0.0189473,195.4
13.0852,-0.0165072,197.8
12.8985,-0.0334924,196.6
